Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.82,3.34,2.78,3.13,284500,3.13
2016-06-01,8.59,9.08,2.57,2.80,655400,2.80
2016-05-02,8.33,10.98,7.77,8.67,226500,8.67
2016-04-01,6.12,8.75,5.92,8.25,136900,8.25
2016-03-01,5.89,6.98,5.08,6.13,78900,6.13
2016-02-01,4.71,6.08,4.19,5.80,40200,5.80
2016-01-04,5.25,5.49,3.63,4.75,46800,4.75
2015-12-01,4.63,6.40,4.60,5.40,76600,5.40
2015-11-02,4.32,4.63,3.78,4.55,34100,4.55
2015-10-01,3.88,4.48,3.62,4.32,32100,4.32
2015-09-01,3.57,4.68,3.36,3.87,52100,3.87
2015-08-03,4.16,4.50,3.05,3.66,57400,3.66
2015-07-01,4.25,4.40,3.91,4.19,29600,4.19
2015-06-01,4.32,4.60,3.87,4.20,58200,4.20
2015-05-01,4.29,4.76,3.80,4.27,54400,4.27
2015-04-01,4.00,5.18,3.69,4.30,119900,4.30
2015-03-02,6.40,7.26,3.56,3.94,242100,3.94
2015-02-02,6.93,6.93,6.06,6.42,131100,6.42
2015-01-02,6.15,7.00,5.15,6.82,273000,6.82
2014-12-01,4.13,6.26,3.98,6.17,72500,6.17
2014-11-03,4.66,4.66,3.82,4.13,49500,4.13
2014-10-01,4.56,4.75,3.77,4.69,48900,4.69
2014-09-02,4.80,5.27,4.27,4.68,116800,4.68
2014-08-01,3.80,4.20,2.62,4.02,100300,4.02
2014-07-01,4.82,4.88,3.50,3.77,95600,3.77
2014-06-02,5.56,5.75,4.50,4.81,124900,4.81
2014-05-01,5.39,7.14,5.34,5.66,190600,5.66
2014-04-01,6.30,6.41,4.66,5.42,242000,5.42
2014-03-03,6.50,6.90,6.05,6.36,111000,6.36
2014-02-03,6.52,6.90,6.17,6.65,111300,6.65
2014-01-02,6.55,7.25,6.15,6.66,126700,6.66
2013-12-02,0.399976,6.68,0.379977,6.39,134900,6.39
2013-11-01,0.33998,0.399976,0.199988,0.399976,12300,6.799592
2013-10-01,0.359978,0.379977,0.309981,0.349979,5000,5.949643
2013-09-03,0.389977,0.449973,0.309981,0.379977,3400,6.459613
2013-08-01,0.519969,0.66996,0.359978,0.409975,8300,6.969582
2013-07-01,0.65996,0.689959,0.449973,0.509969,3900,8.66948
2013-06-03,0.749955,0.769954,0.549967,0.65996,2800,11.219327
2013-05-01,0.49997,0.749955,0.33998,0.749955,6300,12.749235
2013-04-01,0.66996,0.689959,0.459972,0.49997,2300,8.49949
