Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.97,4.02,3.36,3.85,2949400,3.85
2016-06-01,5.02,5.12,3.91,4.01,2146800,4.01
2016-05-02,5.80,5.90,4.80,5.14,1904300,5.14
2016-04-01,5.37,6.09,5.20,5.76,1519200,5.599811
2016-03-01,5.15,5.84,5.11,5.50,1340900,5.347042
2016-02-01,5.58,5.66,4.58,5.00,2153400,4.860947
2016-01-04,5.53,6.00,5.14,5.68,2316100,5.522036
2015-12-01,6.17,6.19,5.40,5.67,1650900,5.512314
2015-11-02,6.32,6.38,5.41,6.10,1460800,5.930355
2015-10-01,5.72,6.32,5.60,6.15,1427700,5.978965
2015-09-01,6.03,6.32,5.51,5.75,1380700,5.590089
2015-08-03,7.76,7.91,5.82,6.16,1551400,5.988687
2015-07-01,7.48,7.93,6.96,7.70,933500,7.3377
2015-06-01,7.54,7.80,7.24,7.40,942000,7.051816
2015-05-01,7.90,8.16,7.60,7.67,1133000,7.309112
2015-04-01,8.02,8.23,7.64,7.88,921400,7.38238
2015-03-02,7.75,8.35,7.54,7.93,1557800,7.429222
2015-02-02,7.20,7.86,7.19,7.78,1129600,7.288695
2015-01-02,7.51,7.53,6.97,7.14,1098200,6.68911
2014-12-01,7.81,7.92,7.22,7.50,909300,7.026376
2014-11-03,8.10,8.31,7.52,7.85,902300,7.354274
2014-10-01,8.30,8.32,7.41,8.17,893100,7.654066
2014-09-02,7.99,8.59,7.98,8.22,867600,7.700909
2014-08-01,8.20,8.24,7.60,7.93,993200,7.429222
2014-07-01,8.79,9.05,8.10,8.12,884700,7.465014
2014-06-02,8.75,9.08,8.63,8.77,856900,8.062584
2014-05-01,9.20,9.26,8.38,8.71,1276500,8.007423
2014-04-01,9.28,9.34,8.43,9.22,1250800,8.330342
2014-03-03,8.58,9.20,8.51,9.20,1556500,8.312272
2014-02-03,8.57,9.37,8.37,8.95,749400,8.086395
2014-01-02,9.37,9.47,8.61,8.67,1146400,7.833413
2013-12-02,8.83,9.50,8.49,9.48,829500,8.565254
2013-11-01,7.79,8.94,7.72,8.88,1330200,8.023149
2013-10-01,7.50,8.21,7.47,7.96,762100,7.191922
2013-09-03,7.18,7.92,7.12,7.40,926100,6.685958
2013-08-01,7.83,8.00,7.08,7.10,1293100,6.414906
2013-07-01,6.96,7.84,6.86,7.73,990100,6.85333
2013-06-03,6.90,7.09,6.59,6.76,1165300,5.99334
2013-05-01,6.75,7.10,6.32,6.87,2071900,6.090864
2013-04-01,6.13,6.76,5.71,6.76,1167100,5.857169
2013-03-01,5.75,6.53,5.70,6.01,895000,5.207335
2013-02-01,6.69,6.95,5.81,5.92,1028400,5.129355
2013-01-02,6.55,6.77,6.39,6.63,485800,5.744531
2012-12-03,5.78,6.49,5.72,6.44,756800,5.579906
2012-11-01,5.60,5.78,5.16,5.74,573300,4.973395
2012-10-01,5.24,5.79,5.20,5.58,402900,4.834764
2012-09-04,5.16,5.96,5.08,5.21,602900,4.514179
2012-08-01,4.61,5.37,4.29,5.12,534700,4.436199
2012-07-02,4.65,4.75,4.02,4.55,430400,3.850487
2012-06-01,4.00,4.68,3.93,4.62,499000,3.909725
2012-05-01,4.63,4.77,4.08,4.24,659100,3.588146
2012-04-02,5.47,5.63,4.40,4.69,502300,3.844225
2012-03-01,5.28,6.03,4.92,5.56,555800,4.557333
2012-02-01,5.00,5.36,4.77,5.25,528400,4.303236
2012-01-03,4.14,5.10,3.87,4.86,858500,3.983568
2011-12-01,4.25,4.61,3.66,4.02,1035700,3.29505
2011-11-01,4.33,4.83,3.66,4.37,1023900,3.581932
2011-10-03,3.96,5.43,3.78,4.78,1363600,3.917995
2011-09-01,4.50,4.56,3.54,4.05,1541900,3.31964
2011-08-01,5.82,5.82,3.90,4.53,1604700,3.713079
2011-07-01,6.87,7.01,5.50,5.71,1443500,4.680282
2011-06-01,6.89,6.90,6.10,6.80,986000,5.573716
2011-05-02,8.03,8.05,6.50,7.00,1203900,5.737649
2011-04-01,7.74,8.07,7.11,7.96,1231000,6.524527
2011-03-01,7.73,7.93,6.67,7.50,1200600,6.147481
2011-02-01,7.55,7.80,7.32,7.69,1364300,6.303217
2011-01-03,6.18,7.75,6.14,7.40,1407300,6.065515
2010-12-01,5.81,6.27,5.75,6.13,810100,5.024541
2010-11-01,6.33,6.69,5.46,5.53,1076700,4.532743
2010-10-01,6.05,6.53,5.91,6.31,620400,5.172081
2010-09-01,5.30,6.20,5.30,5.99,1109400,4.909788
2010-08-02,6.17,6.44,5.05,5.11,705600,4.188484
2010-07-01,5.47,6.26,5.30,6.01,814800,4.926181
2010-06-01,5.53,6.31,5.15,5.28,1372000,4.327826
2010-05-03,7.03,7.16,5.24,5.70,3090300,4.672085
2010-04-01,6.93,7.42,6.69,7.02,1845000,5.754042
2010-03-01,6.30,6.88,6.28,6.81,1023500,5.581913
2010-02-01,6.17,6.49,5.50,6.30,603000,5.163884
2010-01-04,6.76,7.28,5.90,5.92,769800,4.852412
2009-12-01,7.38,7.46,6.04,6.41,1223900,5.254047
2009-11-02,6.99,8.20,6.82,7.24,904600,5.934368
2009-10-01,8.42,9.29,7.02,7.05,917400,5.778632
2009-09-01,7.35,8.56,6.73,8.46,664700,6.934359
2009-08-03,7.73,8.44,6.99,7.54,838000,6.180267
2009-07-01,6.32,7.43,5.13,7.41,634500,6.073711
2009-06-01,6.37,6.95,5.23,6.16,794500,5.049131
2009-05-01,4.95,6.88,4.25,6.27,1029200,5.139294
2009-04-01,3.67,5.28,3.65,4.75,1095200,3.893404
2009-03-02,3.28,5.02,2.25,3.84,1473800,3.14751
2009-02-02,5.04,5.99,3.33,3.53,1806600,2.893414
2009-01-02,6.30,8.00,4.15,5.18,1195800,4.24586
