Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.42,3.46,2.72,2.96,582100,2.96
2016-06-01,4.22,4.30,3.18,3.43,331000,3.43
2016-05-02,5.35,5.36,4.06,4.21,704100,4.21
2016-04-01,5.60,5.66,5.16,5.42,447100,5.42
2016-03-01,5.50,5.71,5.46,5.60,527000,5.60
2016-02-01,5.45,5.53,5.05,5.47,399000,5.47
2016-01-04,5.54,5.64,5.34,5.46,563700,5.46
2015-12-01,5.44,5.64,5.41,5.59,402000,5.59
2015-11-02,5.42,5.54,5.28,5.45,642000,5.45
2015-10-01,5.37,5.63,5.28,5.40,1305200,5.40
2015-09-01,4.43,5.42,4.39,5.37,1188400,5.37
2015-08-03,4.72,5.15,4.24,4.57,498700,4.57
2015-07-01,4.83,4.92,3.39,4.73,1583000,4.73
2015-06-01,6.60,7.70,3.51,4.86,3513700,4.86
2015-05-01,4.69,6.60,3.91,6.34,1308900,6.34
2015-04-01,1.98,5.23,1.91,4.71,3195700,4.71
2015-03-02,2.15,2.25,1.83,1.98,92900,1.98
2015-02-02,2.15,2.34,1.97,2.14,61200,2.14
2015-01-02,2.55,2.64,2.12,2.17,172100,2.17
2014-12-01,3.15,3.20,2.25,2.56,417200,2.56
2014-11-03,2.31,3.14,2.11,3.12,791600,3.12
2014-10-01,1.73,2.44,1.67,2.33,400300,2.33
2014-09-02,1.95,2.02,1.65,1.74,281200,1.74
2014-08-01,2.08,2.20,1.90,1.93,151800,1.93
2014-07-01,2.28,2.41,2.00,2.09,171600,2.09
2014-06-02,2.08,2.56,2.01,2.28,222900,2.28
2014-05-01,2.15,2.20,2.00,2.09,199400,2.09
2014-04-01,2.36,2.46,1.96,2.16,285500,2.16
2014-03-03,2.56,3.24,1.96,2.38,1348200,2.38
2014-02-03,2.07,2.66,1.90,2.56,605200,2.56
2014-01-02,2.01,2.93,1.92,2.06,1013100,2.06
2013-12-02,1.68,2.23,1.55,2.03,567100,2.03
2013-11-01,1.72,1.89,1.58,1.66,204400,1.66
2013-10-01,1.78,3.20,1.66,1.69,485600,1.69
2013-09-03,1.78,1.85,1.72,1.76,31700,1.76
2013-08-01,1.82,1.85,1.68,1.78,45600,1.78
2013-07-01,1.84,1.89,1.70,1.79,46100,1.79
2013-06-03,1.86,1.89,1.53,1.84,67400,1.84
2013-05-01,1.65,2.06,1.58,1.86,72000,1.86
2013-04-01,1.81,1.96,1.50,1.65,34900,1.65
2013-03-01,2.13,2.39,1.70,1.79,52300,1.79
2013-02-01,2.30,2.42,2.00,2.12,16400,2.12
2013-01-02,2.01,2.47,2.00,2.34,44400,2.34
2012-12-03,2.27,2.27,1.83,1.92,45400,1.92
2012-11-01,2.26,2.31,1.48,2.16,53600,2.16
2012-10-01,1.86,2.59,1.81,2.27,75300,2.27
2012-09-04,1.47,1.99,1.33,1.89,108700,1.89
2012-08-01,1.78,2.47,1.41,1.47,64100,1.47
2012-07-02,2.35,2.48,1.62,1.77,28000,1.77
2012-06-01,2.22,2.90,2.16,2.38,51600,2.38
2012-05-01,2.85,2.95,2.12,2.27,40400,2.27
2012-04-02,3.08,3.24,2.80,2.85,68000,2.85
2012-03-01,3.10,3.55,2.58,3.08,122100,3.08
2012-02-01,3.50,3.52,2.71,2.98,122200,2.98
2012-01-03,3.70,4.01,3.39,3.49,126400,3.49
2011-12-01,3.27,3.91,3.17,3.63,174800,3.63
2011-11-01,2.67,3.45,2.30,3.33,141600,3.33
2011-10-03,2.45,2.97,2.20,2.72,81900,2.72
2011-09-01,2.72,2.88,2.30,2.49,158900,2.49
2011-08-01,3.19,3.27,2.10,2.70,288400,2.70
2011-07-01,3.20,3.32,2.88,3.19,172100,3.19
2011-06-01,3.70,3.80,2.99,3.20,243200,3.20
2011-05-02,4.75,4.80,3.31,3.71,289700,3.71
2011-04-01,5.25,5.64,4.33,4.76,221000,4.76
2011-03-01,6.58,6.64,4.37,5.21,295800,5.21
2011-02-01,6.91,7.48,6.54,6.59,114400,6.59
2011-01-03,6.93,7.60,6.60,6.79,180500,6.79
