Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.02,2.31,1.81,2.09,11100,2.09
2016-06-01,1.92,2.40,1.83,2.03,5300,2.03
2016-05-02,2.02,2.59,1.84,2.01,12500,2.01
2016-04-01,2.28,2.61,1.82,2.02,8100,2.02
2016-03-01,1.98,2.22,1.71,2.22,5000,2.22
2016-02-01,1.70,1.92,1.57,1.83,1200,1.83
2016-01-04,1.89,2.00,1.51,1.53,4000,1.53
2015-12-01,1.86,1.90,1.50,1.84,4000,1.84
2015-11-02,1.63,2.05,1.63,1.86,2900,1.86
2015-10-01,1.92,1.99,1.57,1.67,3200,1.67
2015-09-01,2.10,2.21,1.81,1.92,3200,1.92
2015-08-03,2.86,2.86,2.00,2.12,10100,2.12
2015-07-01,2.51,2.72,2.40,2.68,3300,2.68
2015-06-01,2.45,2.73,2.32,2.53,2300,2.53
2015-05-01,2.62,2.82,2.40,2.45,4100,2.45
2015-04-01,2.50,2.83,2.33,2.66,2400,2.66
2015-03-02,2.40,2.60,2.22,2.54,6200,2.54
2015-02-02,2.45,2.80,2.37,2.40,9000,2.40
2015-01-02,2.87,3.05,2.30,2.49,14700,2.49
2014-12-01,2.49,3.05,2.28,2.81,8800,2.81
2014-11-03,2.19,2.81,2.19,2.54,7400,2.54
2014-10-01,2.21,2.25,1.98,2.19,4700,2.19
2014-09-02,2.29,2.41,2.05,2.20,11300,2.20
2014-08-01,2.73,3.04,2.06,2.30,11600,2.30
2014-07-01,2.61,3.20,2.46,2.83,17100,2.83
2014-06-02,2.50,2.90,2.27,2.60,14200,2.60
2014-05-01,2.83,2.83,2.34,2.41,15300,2.41
2014-04-01,3.23,3.24,2.71,2.78,9900,2.78
2014-03-03,3.01,3.42,2.83,3.23,25100,3.23
2014-02-03,2.88,3.30,2.70,3.05,7200,3.05
2014-01-02,2.76,3.10,2.63,2.89,12900,2.89
2013-12-02,2.71,3.30,2.32,2.77,10500,2.77
2013-11-01,2.40,2.75,2.29,2.71,3800,2.71
2013-10-01,2.54,2.64,2.26,2.44,3700,2.44
2013-09-03,2.90,3.46,2.52,2.56,9300,2.56
2013-08-01,2.95,3.24,2.64,2.89,4800,2.89
2013-07-01,2.15,3.25,2.10,2.93,39300,2.93
2013-06-03,2.00,2.36,1.90,2.19,4500,2.19
2013-05-01,1.65,2.17,1.52,2.05,16700,2.05
2013-04-01,1.99,2.01,1.56,1.65,11300,1.65
2013-03-01,2.09,2.13,1.87,1.98,5500,1.98
2013-02-01,2.30,2.36,2.03,2.10,9700,2.10
2013-01-02,2.70,2.81,2.17,2.25,18300,2.25
2012-12-03,2.78,2.80,2.30,2.73,6700,2.73
2012-11-01,3.00,3.00,2.55,2.80,2400,2.80
2012-10-01,2.97,2.99,2.62,2.99,1300,2.99
2012-09-04,2.97,3.11,2.75,2.99,3200,2.99
2012-08-01,3.00,3.08,2.77,2.97,1700,2.97
2012-07-02,3.18,3.33,2.85,3.05,2000,3.05
2012-06-01,3.13,3.55,2.55,3.19,19100,3.19
2012-05-01,3.29,3.40,2.98,3.11,1800,3.11
2012-04-02,3.45,3.45,3.12,3.20,4500,3.20
2012-03-01,2.89,3.47,2.65,3.45,8200,3.45
2012-02-01,2.80,3.00,2.62,2.89,4500,2.89
2012-01-03,2.66,2.87,2.55,2.75,2000,2.75
2011-12-01,2.60,3.10,2.46,2.66,5400,2.66
2011-11-01,2.66,2.83,2.43,2.51,7000,2.51
2011-10-03,2.66,2.66,2.30,2.66,1300,2.66
2011-09-01,2.99,3.31,2.61,2.75,2900,2.75
2011-08-01,3.16,3.20,2.90,2.99,2600,2.99
2011-07-01,3.15,3.31,3.05,3.15,3800,3.15
2011-06-01,3.10,3.31,3.05,3.15,1700,3.15
2011-05-02,3.37,3.50,3.10,3.15,3300,3.15
2011-04-01,3.50,3.70,3.25,3.41,7000,3.41
2011-03-01,3.15,3.75,3.10,3.51,5900,3.51
2011-02-01,3.25,3.30,3.07,3.15,4100,3.15
2011-01-03,2.85,3.25,2.82,3.25,3800,3.25
2010-12-01,2.90,3.00,2.76,2.82,3000,2.82
2010-11-01,2.91,3.05,2.65,2.90,6000,2.90
2010-10-01,3.10,3.10,2.75,2.90,5900,2.90
2010-09-01,3.23,3.23,2.70,3.08,4800,3.08
2010-08-02,3.27,3.37,2.75,3.18,4500,3.18
2010-07-01,2.99,3.47,2.75,3.30,8100,3.30
2010-06-01,2.72,3.18,2.60,2.95,10200,2.95
2010-05-03,2.28,3.10,2.28,2.75,9600,2.75
2010-04-01,2.89,2.93,2.50,2.93,5100,2.93
2010-03-01,2.86,3.07,2.50,2.89,9100,2.89
2010-02-01,2.64,2.85,2.49,2.85,6900,2.85
2010-01-04,2.80,3.01,2.56,2.60,6200,2.60
2009-12-01,3.20,3.21,2.46,2.95,6300,2.95
2009-11-02,2.58,3.70,2.53,3.17,23000,3.17
2009-10-01,2.81,2.87,2.45,2.60,6800,2.60
2009-09-01,2.70,3.05,2.62,2.90,8100,2.90
2009-08-03,1.88,3.15,1.88,2.76,10400,2.76
2009-07-01,2.06,2.20,1.74,2.06,11900,2.06
2009-06-01,2.16,2.25,1.90,2.10,7400,2.10
2009-05-01,2.10,2.59,1.85,2.10,24100,2.10
2009-04-01,2.05,2.40,1.81,2.05,10800,2.05
2009-03-02,1.10,2.20,1.02,1.95,23800,1.95
2009-02-02,1.44,1.75,1.10,1.12,10300,1.12
2009-01-02,1.05,1.65,0.99,1.59,14900,1.59
2008-12-01,1.26,1.54,0.96,1.05,12300,1.05
2008-11-03,1.20,1.71,1.15,1.26,27700,1.26
2008-10-01,2.09,2.09,1.01,1.18,12400,1.18
2008-09-02,2.80,2.88,1.85,2.00,10300,2.00
2008-08-01,2.39,2.99,2.14,2.80,5000,2.80
2008-07-01,2.01,2.50,1.80,2.39,9300,2.39
2008-06-02,2.45,2.63,1.95,2.10,4500,2.10
2008-05-01,2.70,2.99,2.29,2.50,10500,2.50
2008-04-01,2.50,2.60,2.25,2.60,3700,2.60
2008-03-03,2.65,2.74,2.07,2.40,4500,2.40
2008-02-01,1.90,2.93,1.76,2.60,6100,2.60
2008-01-02,2.08,2.28,1.71,1.90,13100,1.90
2007-12-03,2.76,3.20,1.80,2.06,21800,2.06
2007-11-01,3.58,3.60,2.85,3.03,11400,3.03
2007-10-01,4.05,4.08,3.50,3.55,8800,3.55
2007-09-04,4.03,4.55,3.50,4.04,8600,4.04
2007-08-01,5.71,5.97,4.04,4.18,18400,4.18
2007-07-02,5.85,6.10,5.70,5.70,4200,5.70
2007-06-01,5.97,6.20,5.75,5.85,4600,5.85
2007-05-01,6.10,6.47,5.85,5.97,5100,5.923023
2007-04-02,5.85,6.20,5.75,6.15,5400,6.101607
2007-03-01,6.27,6.42,5.87,5.94,9700,5.893259
2007-02-01,6.50,6.65,6.15,6.28,6500,6.180151
2007-01-03,6.80,6.80,6.20,6.50,4000,6.396653
2006-12-01,6.25,6.79,6.16,6.65,6300,6.544268
2006-11-01,6.85,6.87,5.60,6.15,14100,6.009433
2006-10-02,6.55,6.93,6.17,6.90,6600,6.742291
2006-09-01,5.95,6.75,5.80,6.50,5500,6.351433
2006-08-01,6.23,6.23,5.20,5.86,6200,5.683183
2006-07-03,6.16,7.20,5.45,6.18,6700,5.993527
2006-06-01,6.50,6.75,6.10,6.11,4900,5.92564
2006-05-01,6.60,7.15,6.35,6.40,5800,6.158602
2006-04-03,6.79,7.40,6.20,6.59,13800,6.341436
2006-03-01,6.75,6.85,6.55,6.75,9500,6.495401
2006-02-01,7.08,7.11,6.51,6.70,14900,6.401642
2006-01-03,6.00,7.36,5.83,6.95,32800,6.64051
2005-12-01,6.50,7.75,6.20,6.28,22200,6.000346
2005-11-01,5.80,6.55,5.76,6.50,20100,6.166385
2005-10-03,5.96,6.10,5.80,5.80,2700,5.502313
2005-09-01,5.79,6.19,5.66,6.01,14300,5.701534
2005-08-01,5.80,6.00,5.65,5.79,11000,5.448956
2005-07-01,6.11,6.20,5.75,5.80,7900,5.458367
2005-06-01,6.00,6.30,5.85,6.12,9000,5.759519
2005-05-02,5.45,6.15,5.35,6.00,17200,5.60273
2005-04-01,5.40,5.64,5.10,5.40,6000,5.042457
2005-03-01,5.90,5.90,5.31,5.45,6500,5.089146
2005-02-01,5.98,6.33,5.86,5.92,12300,5.482715
2005-01-03,5.98,6.10,5.70,5.94,8800,5.501238
2004-12-01,5.32,6.17,5.32,5.95,11600,5.510499
2004-11-01,4.80,5.40,4.70,5.27,6000,4.843876
2004-10-01,5.10,5.10,4.60,4.79,8500,4.402689
2004-09-01,4.95,5.23,4.83,5.10,7100,4.687623
2004-08-02,4.65,5.14,4.20,4.95,22300,4.508803
2004-07-01,5.65,5.65,4.60,4.79,4700,4.363064
2004-06-01,5.70,5.70,5.26,5.60,6700,5.100868
2004-05-03,6.09,6.15,5.50,5.68,3800,5.133797
2004-04-01,6.71,7.25,5.99,6.05,14300,5.468217
2004-03-01,6.14,7.90,6.14,6.71,14000,6.06475
2004-02-02,6.05,6.17,5.90,6.10,8300,5.480977
2004-01-02,5.91,6.90,5.55,6.06,11400,5.445036
