Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,8.17,8.68,7.55,8.61,534000,8.61
2016-06-01,9.75,12.03,7.77,8.17,455200,8.149051
2016-05-02,10.26,10.58,8.87,9.88,256500,9.854667
2016-04-01,10.37,10.83,9.14,10.07,340900,10.044179
2016-03-01,9.13,11.55,8.95,10.48,390500,10.431553
2016-02-01,7.83,9.93,7.53,8.97,343500,8.928534
2016-01-04,9.72,9.79,6.19,7.94,483200,7.903295
2015-12-01,14.00,14.23,9.21,9.89,362400,9.823708
2015-11-02,14.50,14.91,12.72,13.90,212300,13.806828
2015-10-01,16.040001,16.959999,13.78,14.48,283700,14.38294
2015-09-01,18.73,19.059999,15.79,16.02,286200,15.893236
2015-08-03,21.709999,22.690001,18.16,19.09,250500,18.938944
2015-07-01,20.90,22.950001,19.620001,21.700001,299000,21.528292
2015-06-01,23.35,23.440001,20.59,20.68,297500,20.496374
2015-05-01,25.92,26.35,22.25,23.32,329100,23.112932
2015-04-01,27.09,28.17,24.879999,25.84,203400,25.610558
2015-03-02,26.280001,29.15,24.50,27.219999,239000,26.978304
2015-02-02,23.92,26.860001,23.82,26.25,203400,25.997995
2015-01-02,22.870001,24.719999,21.59,23.83,185900,23.601229
2014-12-01,22.049999,23.23,20.559999,22.690001,136000,22.451622
2014-11-03,19.65,22.549999,19.51,22.040001,219400,21.808453
2014-10-01,19.360001,21.50,18.120001,19.459999,189400,19.255556
2014-09-02,21.040001,21.74,18.879999,19.450001,144900,19.225872
2014-08-01,21.16,22.049999,19.75,20.940001,164800,20.698702
2014-07-01,21.42,23.120001,21.17,21.24,288100,20.995243
2014-06-02,23.360001,23.879999,21.02,21.32,134400,21.054552
2014-05-01,23.10,23.360001,21.09,23.360001,112000,23.069153
2014-04-01,24.030001,24.690001,22.01,23.01,129800,22.723511
2014-03-03,22.59,24.67,22.52,24.040001,149800,23.721205
2014-02-03,20.73,22.99,20.59,22.700001,176800,22.398973
2014-01-02,19.40,21.01,18.709999,20.780001,157900,20.504435
2013-12-02,20.780001,21.120001,18.870001,19.48,106500,19.201939
2013-11-01,18.50,21.209999,18.190001,20.83,125100,20.532669
2013-10-01,18.610001,19.110001,16.629999,18.540001,196000,18.275358
2013-09-03,18.379999,19.35,18.07,18.67,147000,18.383583
2013-08-01,20.25,20.540001,17.33,18.139999,179400,17.861713
2013-07-01,18.35,20.74,17.50,20.110001,204400,19.801493
2013-06-03,19.60,19.879999,17.959999,18.25,204200,17.949825
2013-05-01,16.879999,19.90,16.290001,19.51,208000,19.1891
2013-04-01,20.85,20.85,16.629999,16.790001,286700,16.51384
2013-03-01,19.75,21.99,19.25,20.860001,209700,20.496441
2013-02-01,19.959999,21.360001,19.549999,19.93,166500,19.582649
2013-01-02,18.48,21.74,17.91,19.809999,228000,19.464739
2012-12-03,17.42,18.10,16.360001,18.07,121700,17.735415
2012-11-01,17.00,17.77,15.52,17.280001,159000,16.960043
2012-10-01,16.059999,17.280001,14.69,17.10,210500,16.783375
2012-09-04,16.450001,18.08,15.60,16.07,197900,15.751638
2012-08-01,15.66,16.75,14.51,16.51,162400,16.182922
2012-07-02,16.459999,16.83,13.51,14.93,196500,14.634223
2012-06-01,15.63,17.190001,14.84,16.379999,223500,16.03549
2012-05-01,15.63,16.40,14.55,16.110001,144800,15.77117
2012-04-02,15.48,16.40,14.31,15.63,166400,15.301265
2012-03-01,14.83,16.50,14.32,15.55,125900,15.203368
2012-02-01,15.09,15.71,14.45,14.76,144100,14.430979
2012-01-03,12.04,15.47,11.75,14.95,149700,14.616743
