Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.76,5.84,5.36,5.49,61300,5.49
2016-06-01,6.12,6.12,5.60,5.75,43400,5.75
2016-05-02,6.17,6.29,5.80,6.08,36000,6.08
2016-04-01,6.07,6.39,6.07,6.24,26200,6.24
2016-03-01,6.06,6.24,5.70,6.07,75500,6.07
2016-02-01,6.00,6.07,5.54,5.92,87700,5.92
2016-01-04,6.18,6.31,5.87,5.98,151700,5.98
2015-12-01,6.37,6.48,6.00,6.37,70900,6.37
2015-11-02,6.36,6.51,6.16,6.37,127100,6.37
2015-10-01,6.06,6.53,5.81,6.37,150700,6.37
2015-09-01,6.48,6.56,5.92,6.02,121800,6.02
2015-08-03,5.58,7.69,5.56,6.52,372400,6.52
2015-07-01,6.27,6.27,4.61,5.54,289400,5.54
2015-06-01,6.20,6.82,5.98,6.16,369400,6.16
2015-05-01,6.36,6.41,5.90,6.18,283800,6.18
2015-04-01,5.16,7.24,4.91,6.30,565900,6.30
2015-03-02,5.02,6.70,4.60,5.11,190200,5.11
2015-02-02,4.73,5.47,4.52,4.99,84700,4.99
2015-01-02,4.59,5.10,4.27,4.67,55800,4.67
2014-12-01,4.77,4.77,4.10,4.52,70500,4.52
2014-11-03,5.05,5.40,4.57,4.79,60000,4.79
2014-10-01,4.86,5.39,4.56,5.09,79100,5.09
2014-09-02,5.40,5.45,4.80,4.89,68100,4.89
2014-08-01,4.51,5.70,4.27,5.25,87400,5.25
2014-07-01,5.50,5.64,4.12,4.48,199000,4.48
2014-06-02,4.45,5.70,4.34,5.52,191300,5.52
2014-05-01,4.29,4.67,4.14,4.47,45700,4.47
2014-04-01,4.00,4.32,4.00,4.30,127200,4.30
2014-03-03,4.30,4.85,3.90,4.00,215400,4.00
2014-02-03,3.96,4.39,3.90,4.28,127000,4.28
2014-01-02,4.01,4.05,3.70,3.95,72800,3.95
2013-12-02,4.00,4.13,3.83,4.01,116600,4.01
2013-11-01,4.15,4.24,3.70,4.02,123600,4.02
2013-10-01,3.80,4.20,3.67,4.15,167800,4.15
2013-09-03,3.86,4.17,3.30,3.80,225200,3.80
2013-08-01,4.20,4.60,3.78,3.83,132100,3.83
2013-07-01,2.87,4.24,2.79,4.05,204200,4.05
2013-06-03,2.77,3.14,2.75,2.81,67200,2.81
2013-05-01,2.91,3.03,2.75,2.79,100000,2.79
2013-04-01,2.93,2.95,2.75,2.89,85500,2.89
2013-03-01,2.80,2.95,2.67,2.93,59100,2.93
2013-02-01,2.61,3.00,2.57,2.80,66500,2.80
2013-01-02,2.67,2.77,2.54,2.62,30100,2.62
2012-12-03,2.72,2.82,2.58,2.61,33500,2.61
2012-11-01,2.93,3.04,2.70,2.70,100200,2.70
2012-10-01,2.70,2.98,2.68,2.95,145500,2.95
2012-09-04,2.75,2.85,2.60,2.70,70500,2.70
2012-08-01,2.60,3.20,2.21,2.70,184200,2.70
2012-07-02,2.53,2.64,2.45,2.47,160300,2.47
2012-06-01,2.59,3.20,2.52,2.53,157200,2.53
2012-05-01,2.92,2.95,2.57,2.63,59800,2.63
2012-04-02,2.89,3.35,2.68,2.94,136800,2.94
2012-03-01,2.76,3.30,2.76,2.84,54800,2.84
2012-02-01,2.49,3.38,2.49,2.77,120800,2.77
2012-01-03,2.62,2.65,2.16,2.53,68000,2.53
2011-12-01,2.48,2.71,2.03,2.65,66000,2.65
2011-11-01,2.46,2.51,1.85,2.51,150100,2.51
2011-10-03,3.00,3.15,2.25,2.49,44900,2.49
2011-09-01,3.49,3.52,2.77,3.01,42300,3.01
2011-08-01,3.53,3.59,3.04,3.42,32100,3.42
2011-07-01,3.27,3.62,3.25,3.50,31100,3.50
2011-06-01,3.15,3.31,2.90,3.25,44700,3.25
2011-05-02,3.35,3.48,3.00,3.15,37100,3.15
2011-04-01,3.25,3.70,3.25,3.37,53200,3.37
2011-03-01,3.69,4.11,2.92,3.26,111000,3.26
2011-02-01,3.36,3.70,3.18,3.57,58100,3.57
2011-01-03,4.05,4.08,3.23,3.34,98000,3.34
2010-12-01,4.13,4.13,3.10,4.02,209800,4.02
2010-11-01,5.55,5.79,3.75,4.00,449500,4.00
2010-10-01,5.20,5.71,4.95,5.55,64300,5.55
2010-09-01,4.31,5.96,3.86,5.30,72200,5.30
2010-08-02,5.30,5.30,4.00,4.37,10000,4.37
2010-07-01,5.32,5.40,4.76,5.33,30000,5.33
2010-06-01,5.90,5.90,5.00,5.25,23300,5.25
2010-05-03,5.83,6.00,5.60,5.79,38300,5.79
2010-04-01,6.11,6.11,5.70,5.90,27900,5.90
2010-03-01,5.36,6.50,5.00,6.00,55200,6.00
2010-02-01,6.03,6.49,5.01,5.20,17900,5.20
2010-01-04,6.48,6.75,5.85,5.98,31400,5.98
2009-12-01,6.12,6.72,5.59,6.50,93400,6.50
2009-11-02,7.50,12.85,5.39,6.10,104000,6.10
2009-10-01,7.50,7.50,7.50,7.50,000,7.50
2009-09-01,7.10,7.50,7.10,7.50,600,7.50
2009-08-03,6.55,7.10,6.00,7.10,1800,7.10
2009-07-01,5.98,6.55,5.98,6.55,3300,6.55
2009-06-01,5.85,6.06,5.69,5.99,700,5.99
2009-05-01,5.85,5.85,5.85,5.85,000,5.85
2009-04-01,5.85,5.85,5.85,5.85,000,5.85
2009-03-02,5.70,5.85,5.70,5.85,300,5.85
2009-02-02,5.50,9.00,5.50,5.70,1900,5.70
2009-01-02,5.50,5.50,5.50,5.50,000,5.50
2008-12-01,5.84,5.84,5.20,5.50,1000,5.50
2008-11-03,5.80,5.86,5.80,5.84,25000,5.84
2008-10-01,5.75,5.91,5.67,5.77,9600,5.77
2008-09-02,5.89,5.89,5.65,5.65,27000,5.65
