Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.70,4.67,2.70,4.45,213600,4.45
2016-06-01,3.52,3.65,2.70,2.72,45700,2.72
2016-05-02,3.99,4.02,3.07,3.50,71500,3.50
2016-04-01,3.82,4.35,3.55,3.95,56300,3.95
2016-03-01,4.43,4.62,3.78,3.80,59900,3.80
2016-02-01,5.31,5.49,4.37,4.43,35400,4.43
2016-01-04,5.99,6.14,4.26,5.23,34100,5.23
2015-12-01,5.85,5.99,4.70,5.99,39800,5.99
2015-11-02,6.20,6.40,5.52,5.96,30500,5.96
2015-10-01,6.10,6.64,5.95,6.20,26900,6.20
2015-09-01,5.98,6.49,5.69,6.09,20800,6.09
2015-08-03,5.90,6.30,5.60,5.89,58400,5.89
2015-07-01,6.47,6.48,4.94,6.03,29900,6.03
2015-06-01,6.45,6.70,6.15,6.45,15200,6.45
2015-05-01,6.13,6.55,5.99,6.52,21300,6.52
2015-04-01,6.47,6.54,5.82,6.02,22400,6.02
2015-03-02,6.29,6.55,5.95,6.51,22700,6.51
2015-02-02,4.95,6.35,4.56,6.29,37000,6.29
2015-01-02,5.45,5.60,4.66,4.90,16700,4.90
2014-12-01,5.74,5.98,5.02,5.47,30100,5.47
2014-11-03,5.62,6.47,5.44,5.74,11500,5.74
2014-10-01,5.06,5.48,3.96,5.48,16200,5.48
2014-09-02,5.84,5.84,4.97,5.14,8300,5.14
2014-08-01,5.67,6.18,5.33,5.78,14800,5.78
2014-07-01,5.84,6.08,5.36,5.74,13800,5.74
2014-06-02,6.04,6.45,5.59,5.88,16100,5.88
2014-05-01,5.69,6.50,5.68,5.95,19600,5.95
2014-04-01,7.42,7.50,5.07,5.82,28300,5.82
2014-03-03,6.17,7.50,6.00,7.50,31400,7.50
2014-02-03,6.60,6.95,6.08,6.18,34200,6.18
2014-01-02,4.84,7.75,4.83,6.89,120800,6.89
2013-12-02,4.43,4.90,4.40,4.90,21100,4.90
2013-11-01,4.00,4.57,3.92,4.45,20000,4.45
2013-10-01,3.96,4.25,3.68,4.00,17400,4.00
2013-09-03,4.47,4.73,3.67,3.97,36900,3.97
2013-08-01,4.31,4.86,4.27,4.41,15900,4.41
2013-07-01,4.49,4.84,4.00,4.38,31200,4.38
2013-06-03,4.23,4.37,4.01,4.36,31700,4.36
2013-05-01,4.19,4.50,3.87,4.32,16800,4.32
2013-04-01,4.25,4.25,3.40,4.20,16000,4.20
2013-03-01,3.42,4.23,3.30,4.20,30400,4.20
2013-02-01,4.01,4.23,3.11,3.45,19300,3.45
2013-01-02,2.80,4.25,2.76,4.06,25800,4.06
2012-12-03,2.70,2.75,2.44,2.75,18800,2.75
2012-11-01,2.70,3.23,2.56,2.76,19400,2.76
2012-10-01,3.17,3.26,2.50,2.75,17000,2.75
2012-09-04,3.61,3.64,3.03,3.19,17800,3.19
2012-08-01,4.01,4.45,2.43,3.65,12300,3.65
2012-07-02,4.02,4.39,3.85,4.03,13600,4.03
2012-06-01,4.11,4.73,3.71,4.15,21800,4.15
2012-05-01,3.86,4.50,3.56,4.13,21300,4.13
2012-04-02,3.94,3.96,3.47,3.94,13400,3.94
2012-03-01,4.27,4.30,3.49,3.94,39300,3.94
2012-02-01,3.75,4.88,3.55,4.27,39200,4.27
2012-01-03,3.37,4.00,2.86,3.65,36800,3.65
2011-12-01,3.27,3.85,3.15,3.35,31700,3.35
2011-11-01,3.42,3.76,3.17,3.30,27500,3.30
2011-10-03,3.26,4.11,2.77,3.54,45400,3.54
2011-09-01,3.91,3.91,3.04,3.32,23600,3.32
2011-08-01,4.51,4.51,2.65,3.89,57300,3.89
2011-07-01,5.52,5.94,4.26,4.43,41800,4.43
2011-06-01,6.46,6.91,5.00,5.50,73900,5.50
2011-05-02,6.38,7.48,6.01,6.46,61000,6.46
2011-04-01,6.83,7.87,6.02,6.35,134900,6.35
2011-03-01,5.01,6.78,4.55,6.78,128400,6.78
2011-02-01,4.52,5.16,4.34,5.00,66300,5.00
2011-01-03,3.75,4.92,3.73,4.51,99400,4.51
2010-12-01,3.85,4.05,3.71,3.74,38900,3.74
2010-11-01,4.53,4.59,3.78,3.81,55800,3.81
2010-10-01,4.43,4.75,4.25,4.53,48600,4.53
2010-09-01,3.98,4.56,3.60,4.43,82800,4.43
2010-08-02,4.12,4.36,3.70,3.95,52100,3.95
2010-07-01,3.79,4.36,3.50,4.16,63700,4.16
2010-06-01,4.05,4.20,3.60,3.81,59800,3.81
2010-05-03,5.09,5.09,3.63,4.04,114500,4.04
2010-04-01,4.23,5.25,4.20,5.05,148200,5.05
2010-03-01,4.04,4.90,4.03,4.22,127600,4.22
2010-02-01,4.65,4.75,3.82,4.03,137400,4.03
2010-01-04,4.55,5.00,4.46,4.61,140000,4.61
2009-12-01,4.42,5.03,4.22,4.46,157700,4.46
2009-11-02,4.22,4.70,3.82,4.40,186600,4.40
2009-10-01,5.09,5.25,3.96,4.09,201200,4.09
2009-09-01,3.75,6.99,3.55,5.04,673700,5.04
2009-08-03,3.91,4.00,3.25,3.75,199100,3.75
2009-07-01,3.21,4.39,2.72,3.82,204900,3.82
2009-06-01,4.30,4.43,2.91,3.24,250100,3.24
2009-05-01,4.24,4.85,3.57,4.12,258500,4.12
2009-04-01,3.30,5.34,3.30,4.20,327800,4.20
2009-03-02,4.32,4.64,3.00,3.34,376200,3.34
2009-02-02,7.53,8.03,3.85,4.47,376700,4.47
2009-01-02,6.81,10.50,6.81,7.82,236800,7.82
2008-12-01,5.49,6.94,4.60,6.76,240200,6.76
2008-11-03,9.19,9.19,2.89,5.35,212400,5.35
2008-10-01,14.71,14.84,6.64,8.39,155700,7.925
2008-09-02,20.809999,21.34,14.70,14.84,91300,14.017521
2008-08-01,21.50,22.389999,18.459999,21.08,104500,19.91168
2008-07-01,22.040001,25.50,19.950001,21.389999,95700,19.728798
2008-06-02,25.950001,26.719999,21.809999,22.00,82400,20.291424
2008-05-01,24.76,27.209999,24.50,25.950001,107200,23.934658
2008-04-01,25.00,27.450001,24.40,24.98,73600,23.039989
2008-03-03,26.299999,27.23,22.77,24.59,92200,22.260609
2008-02-01,27.200001,30.200001,26.40,26.41,92500,23.908201
2008-01-02,26.610001,28.129999,23.50,26.950001,140600,24.397047
2007-12-03,30.98,31.790001,26.35,26.41,74800,23.498421
2007-11-01,35.700001,37.459999,28.00,30.60,86000,27.226492
2007-10-01,36.09,37.50,34.00,35.91,66800,31.95109
2007-09-04,34.98,37.490002,32.799999,36.099998,42300,31.709703
2007-08-01,38.599998,39.98,29.02,34.849998,84400,30.611723
2007-07-02,31.85,40.259998,31.049999,39.150002,88300,34.002293
2007-06-01,31.889999,32.720001,29.290001,31.450001,60500,27.314739
2007-05-01,28.85,33.549999,28.139999,32.00,76700,27.792421
2007-04-02,26.33,29.790001,26.110001,28.77,34600,24.608009
2007-03-01,23.40,26.950001,23.00,26.33,49000,22.520988
2007-02-01,24.18,25.15,21.549999,23.690001,102900,20.262903
2007-01-03,23.75,25.549999,23.09,24.15,59400,20.656357
2006-12-01,22.40,24.10,22.09,23.93,62800,20.111229
2006-11-01,20.50,22.690001,19.610001,22.42,151100,18.842196
2006-10-16,20.780001,20.799999,20.059999,20.549999,235800,17.270611
