Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.94,7.23,3.72,5.23,2593300,5.23
2016-06-01,3.67,4.26,3.53,3.88,39000,3.88
2016-05-02,4.42,4.45,3.51,3.65,41800,3.65
2016-04-01,4.91,5.09,4.25,4.42,47600,4.42
2016-03-01,6.51,6.80,4.61,4.95,163100,4.95
2016-02-01,5.76,6.75,4.92,6.48,65900,6.48
2016-01-04,6.09,7.06,5.47,5.71,103900,5.71
2015-12-01,4.70,9.00,4.04,6.32,213400,6.32
2015-11-02,5.73,7.68,3.84,4.58,213900,4.58
2015-10-01,6.25,7.39,5.45,5.70,74300,5.70
2015-09-01,8.08,8.23,5.84,6.23,93100,6.23
2015-08-03,11.08,11.08,4.60,8.34,298300,8.34
2015-07-01,14.00,14.20,10.15,11.03,195100,11.03
2015-06-01,14.89,15.36,12.81,13.84,193100,13.84
2015-05-01,14.12,18.799999,14.00,14.89,722000,14.89
2015-04-01,12.67,16.00,12.13,13.99,658000,13.99
2015-03-02,12.86,16.27,11.09,12.75,460900,12.75
2015-02-02,10.78,14.34,10.00,12.89,383100,12.89
2015-01-02,15.32,15.68,10.44,10.57,166600,10.57
2014-12-01,13.26,23.75,11.80,15.32,1831000,15.32
2014-11-03,14.60,14.90,10.50,13.36,428200,13.36
2014-10-01,15.53,17.379999,9.85,14.62,530400,14.62
2014-09-02,22.34,33.59,15.07,16.02,2991000,16.02
2014-08-01,3.95,19.860001,3.16,18.66,5675000,18.66
2014-07-01,3.16,9.44,3.10,3.84,1187500,3.84
2014-06-02,4.99,4.99,3.03,3.11,37500,3.11
2014-05-01,4.78,5.67,4.00,5.04,13400,5.04
2014-04-01,6.15,6.49,4.46,4.65,27500,4.65
2014-03-03,8.26,8.99,6.00,6.14,20700,6.14
2014-02-03,7.89,8.91,7.01,8.23,15900,8.23
2014-01-02,9.22,9.97,7.45,7.91,25700,7.91
2013-12-02,9.50,9.75,7.30,9.19,84900,9.19
2013-11-01,9.11,10.89,7.11,7.84,81700,7.84
2013-10-01,13.72,15.26,8.40,8.97,70500,8.97
2013-09-03,11.45,17.469999,11.00,13.69,118600,13.69
2013-08-01,8.19,11.45,8.19,11.20,45600,11.20
2013-07-01,7.50,8.86,6.32,8.30,11400,8.30
2013-06-03,6.03,9.30,5.81,7.48,8000,7.48
2013-05-01,6.13,7.00,5.61,6.22,5700,6.22
2013-04-01,4.36,6.00,3.50,6.00,4900,6.00
2013-03-01,4.30,4.88,3.94,4.36,5500,4.36
2013-02-01,3.50,4.80,3.50,4.09,2900,4.09
2013-01-02,3.48,4.77,3.16,4.15,2800,4.15
2012-12-03,4.34,4.73,3.00,3.48,4400,3.48
2012-11-01,3.03,6.00,3.03,4.45,6000,4.45
2012-10-01,3.30,3.92,2.81,3.40,3200,3.40
2012-09-04,5.21,5.60,3.31,3.44,5100,3.44
2012-08-01,0.38,11.93,0.32,5.21,4100,5.21
2012-07-02,0.37,0.45,0.30,0.31,1100,2.48
2012-06-01,0.53,0.53,0.29,0.44,2100,3.52
2012-05-01,0.75,0.75,0.40,0.53,1700,4.24
2012-04-02,0.79,0.79,0.59,0.75,3500,6.00
2012-03-01,0.57,0.79,0.40,0.77,5400,6.16
2012-02-01,0.64,0.65,0.54,0.64,700,5.12
2012-01-03,0.59,0.70,0.57,0.60,1000,4.80
2011-12-01,0.75,0.97,0.55,0.60,2600,4.80
2011-11-01,0.88,0.95,0.68,0.73,1200,5.84
2011-10-03,0.75,0.94,0.68,0.87,3800,6.96
2011-09-01,0.89,1.00,0.77,0.77,2200,6.16
2011-08-01,1.00,1.12,0.66,0.89,4600,7.12
2011-07-01,1.15,1.25,0.96,0.97,3400,7.76
2011-06-01,1.24,1.29,0.94,1.16,8600,9.28
2011-05-02,1.37,1.45,1.00,1.21,12100,9.68
2011-04-01,1.31,1.45,1.27,1.37,5600,10.96
