Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.00,9.03,5.99,7.57,1685800,7.57
2016-06-01,4.61,5.90,4.45,5.90,404400,5.90
2016-05-02,5.53,6.05,4.34,4.61,610900,4.61
2016-04-01,3.90,5.49,3.88,5.41,463000,5.129096
2016-03-01,3.50,4.15,3.38,3.99,405800,3.782827
2016-02-01,2.84,4.03,2.83,3.35,451400,3.110465
2016-01-04,1.68,3.43,1.65,2.80,269900,2.599792
2015-12-01,1.54,1.65,1.34,1.60,63600,1.485595
2015-11-02,1.55,1.72,1.45,1.52,55700,1.411316
2015-10-01,1.50,1.85,1.40,1.54,68800,1.429886
2015-09-01,1.45,1.67,1.21,1.49,433700,1.323091
2015-08-03,1.23,1.40,1.10,1.22,139500,1.083337
2015-07-01,1.87,1.87,1.15,1.27,57100,1.127736
2015-06-01,1.78,1.93,1.55,1.85,58500,1.642765
2015-05-01,1.75,1.98,1.68,1.75,63000,1.553966
2015-04-01,1.71,2.06,1.69,1.76,66900,1.562846
2015-03-02,2.10,2.10,1.47,1.73,183200,1.536207
2015-02-02,2.29,2.48,1.91,2.00,66300,1.775962
2015-01-02,1.55,2.88,1.51,2.32,167000,2.060115
2014-12-01,2.09,2.18,1.35,1.54,436200,1.36749
2014-11-03,2.73,2.90,2.10,2.10,140800,1.86476
2014-10-01,3.38,3.48,2.45,2.72,111300,2.396964
2014-09-02,2.70,3.65,2.37,3.40,357300,2.996205
2014-08-01,2.81,2.89,2.50,2.72,56200,2.396964
2014-07-01,2.87,3.27,2.53,2.86,112800,2.520337
2014-06-02,2.41,3.45,2.39,2.97,190200,2.617273
2014-05-01,3.19,3.28,2.41,2.49,100300,2.194279
2014-04-01,3.77,3.83,3.01,3.22,123600,2.837582
2014-03-03,3.88,4.46,3.64,3.73,149900,3.287013
2014-02-03,3.86,4.45,3.72,3.76,139600,3.31345
2014-01-02,3.66,4.04,3.62,3.85,111300,3.392761
2013-12-02,3.93,4.65,3.16,3.69,314200,3.251763
2013-11-01,4.91,4.98,3.98,4.12,64700,3.630695
2013-10-01,5.68,5.75,4.91,4.93,56500,4.344497
2013-09-03,5.95,6.47,5.22,5.72,73200,4.917416
2013-08-01,5.43,6.22,4.89,5.95,78100,5.115144
2013-07-01,5.71,6.08,4.96,5.42,64000,4.65951
2013-06-03,5.99,6.50,4.90,5.43,109400,4.668107
2013-05-01,6.65,6.76,5.05,5.87,114400,5.04637
