Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.32,1.85,1.20,1.48,110000,1.48
2016-06-01,1.69,2.84,1.30,1.30,126500,1.30
2016-05-02,1.23,1.92,1.20,1.70,87000,1.70
2016-04-01,1.37,1.43,1.16,1.27,15400,1.27
2016-03-01,1.13,1.50,1.10,1.31,11700,1.31
2016-02-01,1.13,1.26,0.88,1.12,23800,1.12
2016-01-04,1.40,1.49,0.95,1.05,29700,1.05
2015-12-01,1.36,1.58,1.25,1.42,20700,1.42
2015-11-02,1.83,1.86,1.31,1.52,19000,1.52
2015-10-01,1.65,1.88,1.58,1.84,20000,1.84
2015-09-01,1.44,1.76,1.43,1.55,20600,1.55
2015-08-03,1.62,2.40,1.32,1.46,77900,1.46
2015-07-01,1.72,1.94,1.58,1.62,16700,1.62
2015-06-01,1.71,1.91,1.50,1.70,16000,1.70
2015-05-01,1.75,1.83,1.16,1.74,72900,1.74
2015-04-01,2.04,2.42,1.55,1.56,65600,1.56
2015-03-02,2.38,2.95,2.03,2.13,60800,2.13
2015-02-02,2.02,3.00,2.00,2.34,81800,2.34
2015-01-02,1.38,2.47,1.35,2.06,98500,2.06
2014-12-01,0.82,1.70,0.82,1.35,125700,1.35
2014-11-03,0.55,0.89,0.50,0.81,54800,0.81
2014-10-01,0.84,0.84,0.51,0.55,53900,0.55
2014-09-02,1.86,2.06,0.39,0.84,244600,0.84
2014-08-01,2.00,2.03,1.60,1.86,29200,1.86
2014-07-01,2.19,2.40,1.90,2.03,34600,2.03
2014-06-02,1.83,2.47,1.63,2.26,85400,2.26
2014-05-01,3.10,3.47,1.53,1.77,180400,1.77
2014-04-01,3.04,3.35,3.01,3.12,100600,3.12
2014-03-03,3.02,3.68,2.91,3.00,188100,3.00
2014-02-03,3.34,3.34,2.80,3.13,159700,3.13
2014-01-02,3.13,4.13,3.06,3.29,340000,3.29
2013-12-02,3.80,3.80,2.61,3.14,616800,3.14
2013-11-01,2.58,4.91,2.05,3.83,902300,3.83
2013-10-01,2.71,3.60,2.45,2.54,135600,2.54
2013-09-03,2.58,3.40,2.46,2.76,192800,2.76
2013-08-01,2.86,2.99,2.14,2.44,170600,2.44
2013-07-01,2.57,3.30,2.39,2.85,156000,2.85
2013-06-03,0.58,5.99,0.52,2.49,332200,2.49
2013-05-01,0.59,0.64,0.18,0.58,28800,5.80
2013-04-01,0.77,0.80,0.56,0.60,24500,6.00
2013-03-01,0.77,0.85,0.74,0.79,21600,7.90
2013-02-01,0.79,0.85,0.67,0.75,79300,7.50
2013-01-02,1.08,1.45,1.01,1.16,36500,11.60
2012-12-03,1.23,1.30,0.92,1.04,33400,10.40
2012-11-01,1.40,1.50,1.19,1.20,10900,12.00
2012-10-01,1.54,1.64,1.38,1.40,6900,14.00
2012-09-04,1.42,1.89,1.40,1.57,7400,15.70
2012-08-01,1.54,1.75,1.40,1.45,6500,14.50
2012-07-02,1.60,1.80,1.38,1.48,8700,14.80
2012-06-01,1.90,2.00,1.55,1.62,12000,16.200001
2012-05-01,2.04,2.15,1.60,1.90,12400,19.00
2012-04-02,2.12,2.12,1.75,2.02,8900,20.200001
2012-03-01,1.84,2.36,1.83,2.02,9800,20.200001
2012-02-01,2.00,2.03,1.62,1.86,12900,18.60
2012-01-03,2.24,2.30,1.96,1.98,6500,19.799999
2011-12-01,2.55,2.55,1.97,2.26,13900,22.60
2011-11-01,2.65,2.82,2.05,2.50,9300,25.00
2011-10-03,2.93,3.35,2.50,2.72,8800,27.200001
2011-09-01,4.00,4.07,2.80,2.90,11800,29.00
2011-08-01,3.20,4.55,2.33,4.03,16700,40.299999
2011-07-01,4.45,4.45,3.06,3.19,11500,31.90
2011-06-01,4.23,4.65,2.94,4.06,16600,40.599998
2011-05-02,4.40,4.48,3.94,4.23,7700,42.299999
2011-04-01,4.06,4.98,3.92,4.24,14200,42.400002
2011-03-01,3.39,4.02,3.00,4.00,18000,40.00
2011-02-01,2.38,4.75,2.38,3.39,47700,33.900002
2011-01-03,1.59,2.49,1.47,2.40,23500,24.00
2010-12-01,1.08,1.63,1.08,1.60,14200,16.00
2010-11-01,1.10,1.35,0.90,1.15,3000,11.50
2010-10-01,1.00,1.35,0.86,1.19,3600,11.90
2010-09-01,1.04,1.04,0.85,1.00,2600,10.00
2010-08-02,1.24,1.24,0.85,1.04,1300,10.40
2010-07-01,1.20,1.34,0.87,1.24,2400,12.40
2010-06-01,1.36,1.38,1.11,1.25,1600,12.50
2010-05-03,1.40,1.65,1.10,1.30,2600,13.00
2010-04-01,1.45,1.72,1.35,1.56,2200,15.60
2010-03-01,1.70,1.80,1.25,1.50,2200,15.00
2010-02-01,1.95,1.95,1.62,1.70,3600,17.00
2010-01-04,1.75,2.15,1.60,1.89,16800,18.90
2009-12-01,1.27,1.70,1.15,1.70,3800,17.00
2009-11-02,1.40,1.50,1.02,1.30,2500,13.00
2009-10-01,1.52,1.55,1.25,1.40,1100,14.00
2009-09-01,1.55,1.64,1.35,1.52,1300,15.20
2009-08-03,1.69,1.90,1.37,1.55,1900,15.50
2009-07-01,1.50,2.00,1.21,1.69,3900,16.90
2009-06-01,1.05,1.70,0.59,1.51,6200,15.10
2009-05-01,0.68,1.04,0.51,0.93,4100,9.30
2009-04-01,0.41,0.70,0.35,0.69,3600,6.90
2009-03-02,0.52,0.64,0.31,0.48,2500,4.80
2009-02-02,0.30,0.70,0.25,0.66,3100,6.60
2009-01-02,0.30,0.70,0.30,0.30,1400,3.00
2008-12-01,0.49,0.54,0.21,0.40,2600,4.00
2008-11-03,0.60,0.63,0.30,0.42,1400,4.20
2008-10-01,0.73,0.81,0.44,0.70,1600,7.00
2008-09-02,1.35,1.45,0.65,0.76,1300,7.60
2008-08-01,1.59,1.59,1.25,1.40,1200,14.00
2008-07-01,1.89,1.95,1.35,1.54,1200,15.40
2008-06-02,1.93,2.15,1.75,1.95,1500,19.50
2008-05-01,1.23,2.00,1.02,2.00,2500,20.00
2008-04-01,1.45,1.45,0.91,1.30,1300,13.00
2008-03-03,1.75,2.00,1.25,1.50,1100,15.00
2008-02-01,1.36,1.95,1.01,1.80,900,18.00
2008-01-02,1.65,1.85,1.01,1.50,800,15.00
2007-12-03,1.60,1.85,1.15,1.65,600,16.50
2007-11-01,1.50,2.10,1.50,1.55,500,15.50
2007-10-01,2.10,2.15,1.35,1.55,1300,15.50
2007-09-04,2.40,2.82,2.10,2.20,900,22.00
2007-08-01,2.40,2.74,2.00,2.45,700,24.50
2007-07-02,2.10,2.55,1.76,2.50,1000,25.00
2007-06-01,1.10,2.50,1.10,2.20,3200,22.00
2007-05-01,1.20,1.42,1.05,1.40,500,14.00
2007-04-02,1.45,1.69,0.76,1.42,1000,14.20
2007-03-01,1.19,1.55,1.15,1.45,1500,14.50
2007-02-01,0.27,1.26,0.27,1.19,6000,11.90
2007-01-03,0.21,0.46,0.21,0.34,6500,3.40
2006-12-01,0.46,1.19,0.05,0.21,11400,2.10
2006-11-01,0.76,1.47,0.50,0.50,7200,5.00
2006-10-02,0.79,0.89,0.72,0.75,600,7.50
2006-09-01,1.15,1.15,0.71,0.80,2900,8.00
2006-08-01,0.19,1.89,0.16,1.15,1100,11.50
2006-07-03,0.23,0.24,0.18,0.19,1100,19.00
2006-06-01,0.25,0.36,0.18,0.23,4600,23.00
2006-05-01,0.40,0.42,0.21,0.24,2200,24.00
2006-04-03,0.58,0.59,0.38,0.43,1900,43.00
2006-03-01,0.56,0.84,0.50,0.55,3600,55.00
2006-02-01,0.82,0.85,0.51,0.58,1200,58.00
2006-01-03,0.48,0.98,0.42,0.80,2400,80.00
2005-12-01,0.72,0.80,0.42,0.47,2100,47.00
2005-11-01,0.75,1.00,0.71,0.74,400,74.00
2005-10-03,1.16,1.25,0.64,0.75,800,75.00
2005-09-01,1.34,1.49,1.01,1.14,600,114.00
2005-08-01,1.85,1.91,1.20,1.32,600,132.00
2005-07-01,1.56,2.00,1.55,1.88,600,188.00
2005-06-01,1.45,1.59,1.45,1.57,300,157.00
2005-05-02,1.24,1.59,1.11,1.43,500,143.00
2005-04-01,1.17,1.40,1.00,1.28,700,128.00
2005-03-01,1.57,1.60,1.07,1.16,800,116.00
2005-02-01,1.81,1.82,1.51,1.56,1100,156.00
2005-01-03,2.15,2.24,1.55,1.81,1900,181.00
2004-12-01,1.86,2.33,1.85,2.14,2700,214.00
2004-11-01,1.91,2.20,1.89,1.95,1300,195.00
2004-10-01,2.25,2.39,1.65,2.00,1300,200.00
2004-09-01,2.40,2.54,1.96,2.32,1200,232.00
2004-08-02,1.59,2.63,1.22,2.45,3100,245.00
2004-07-01,1.94,2.04,1.27,1.60,900,160.00
2004-06-01,2.55,2.80,1.80,1.92,2100,192.00
2004-05-03,1.96,2.52,1.81,2.50,700,250.00
2004-04-01,1.97,2.25,1.92,1.96,800,196.00
2004-03-01,2.43,2.45,1.93,1.98,1000,198.00
2004-02-02,2.00,3.45,1.82,2.30,5600,230.00
2004-01-02,1.70,2.43,1.70,1.98,900,198.00
2003-12-01,2.05,2.62,1.46,1.69,700,169.00
2003-11-03,2.26,2.99,2.00,2.09,300,209.00
2003-10-01,1.36,3.75,1.33,2.26,2500,226.00
2003-09-02,1.09,1.57,1.09,1.40,000,140.00
2003-08-01,1.31,1.70,0.91,1.23,100,123.00
2003-07-01,1.70,1.98,0.81,1.31,400,131.00
2003-06-02,1.90,2.21,1.34,1.70,100,170.00
2003-05-01,1.58,2.45,1.40,1.85,000,185.00
2003-04-01,1.50,2.54,0.83,1.58,000,158.00
2003-03-03,2.72,2.79,1.37,1.37,000,137.00
2003-02-03,3.09,3.45,2.70,2.80,000,280.00
2003-01-02,4.21,4.29,2.88,3.19,000,319.00
