Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.19,1.57,1.16,1.54,1308200,1.54
2016-06-01,1.43,1.70,1.15,1.15,1102400,1.15
2016-05-02,1.70,1.76,1.13,1.43,1239300,1.43
2016-04-01,2.29,2.29,1.64,1.68,647100,1.68
2016-03-01,2.98,3.60,1.73,2.29,771600,2.29
2016-02-01,2.81,3.03,2.14,2.94,460900,2.94
2016-01-04,4.38,4.50,2.75,2.81,587900,2.81
2015-12-01,3.81,4.43,3.27,4.39,612600,4.39
2015-11-02,4.73,5.29,3.35,3.82,694700,3.82
2015-10-01,5.15,5.35,4.06,4.68,444100,4.68
2015-09-01,5.07,5.62,4.63,5.13,592000,5.13
2015-08-03,5.05,5.62,4.39,5.17,715000,5.17
2015-07-01,7.85,7.87,5.04,5.05,660700,5.05
2015-06-01,7.89,8.50,7.58,7.74,512800,7.74
2015-05-01,7.45,8.50,7.16,7.73,671500,7.73
2015-04-01,7.64,8.04,7.23,7.40,880500,7.40
2015-03-02,7.13,8.53,6.87,7.62,666600,7.62
2015-02-02,6.61,7.29,6.56,7.11,363000,7.11
2015-01-02,7.20,7.24,6.41,6.61,540700,6.61
2014-12-01,7.06,7.75,6.04,7.15,765700,7.15
2014-11-03,7.28,7.62,7.04,7.10,644900,7.10
2014-10-01,6.73,7.46,6.47,7.29,678500,7.29
2014-09-02,7.85,8.16,6.75,6.75,624700,6.75
2014-08-01,8.36,8.47,6.56,7.81,377800,7.81
2014-07-01,8.90,9.13,8.35,8.37,474900,8.37
2014-06-02,8.90,9.29,8.62,8.90,604900,8.90
2014-05-01,6.60,9.08,6.38,8.90,886100,8.90
2014-04-01,6.84,7.15,6.38,6.60,761900,6.60
2014-03-03,8.30,9.39,6.37,6.86,887700,6.86
2014-02-03,8.42,8.62,7.86,8.40,365700,8.40
2014-01-02,9.92,9.93,8.46,8.48,326600,8.48
2013-12-02,9.71,10.42,9.03,9.99,483800,9.99
2013-11-01,8.27,9.85,7.68,9.75,537600,9.75
2013-10-01,7.79,8.42,7.51,8.30,280700,8.30
2013-09-03,7.79,8.05,7.55,7.81,410300,7.81
2013-08-01,7.05,8.17,7.05,7.70,428900,7.70
2013-07-01,6.30,7.25,6.15,6.99,517700,6.99
2013-06-03,6.61,6.74,5.71,6.26,751100,6.26
2013-05-01,7.08,7.43,6.59,6.60,510300,6.60
2013-04-01,7.02,7.25,6.59,7.13,537800,7.13
2013-03-01,7.02,7.55,6.62,7.05,543700,7.05
2013-02-01,7.61,7.68,6.12,7.10,884100,7.10
2013-01-02,7.88,8.27,7.30,7.55,422600,7.55
2012-12-03,7.90,7.93,7.02,7.84,556000,7.84
2012-11-01,7.08,7.91,6.74,7.87,520900,7.87
2012-10-01,8.11,8.19,6.89,7.05,418500,7.05
2012-09-04,7.62,8.51,7.30,8.05,661500,8.05
2012-08-01,6.51,7.81,6.28,7.67,476200,7.67
2012-07-02,7.21,7.58,6.46,6.46,382100,6.46
2012-06-01,6.87,7.35,6.28,7.21,612800,7.21
2012-05-01,8.47,8.63,6.68,7.05,610600,7.05
2012-04-02,7.80,8.71,7.23,8.45,716600,8.45
2012-03-01,5.57,7.83,5.30,7.80,1053200,7.80
2012-02-01,5.36,5.76,4.87,5.56,334900,5.56
2012-01-03,4.58,5.60,4.47,5.30,518300,5.30
2011-12-01,4.46,4.90,4.24,4.45,584500,4.45
2011-11-01,2.81,4.58,2.75,4.50,1183200,4.50
2011-10-03,2.52,3.13,2.18,2.98,321400,2.98
2011-09-01,2.98,2.98,2.49,2.56,329900,2.56
