Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.28,6.44,5.28,5.39,962300,5.39
2016-06-01,7.76,8.88,5.02,6.22,950200,6.22
2016-05-02,5.96,7.77,5.38,7.65,637600,7.65
2016-04-01,6.65,7.35,5.81,5.96,418100,5.96
2016-03-01,5.80,8.08,5.47,6.77,801500,6.77
2016-02-01,5.40,5.92,4.56,5.71,489300,5.71
2016-01-04,5.50,7.05,4.51,5.33,987500,5.33
2015-12-01,0.87,9.49,0.82,4.96,706700,4.96
2015-11-02,0.90,1.02,0.75,0.86,152800,10.319995
2015-10-01,0.74,0.95,0.69,0.88,159300,10.559996
2015-09-01,0.85,1.00,0.67,0.74,178200,8.879996
2015-08-03,0.82,0.89,0.64,0.83,156000,9.959996
2015-07-01,0.96,1.02,0.81,0.84,175500,10.079996
2015-06-01,1.23,1.25,0.86,0.98,296800,11.759995
2015-05-01,1.22,1.309999,1.12,1.23,252500,14.759995
2015-04-01,1.23,1.359999,1.21,1.23,251900,14.759995
2015-03-02,1.309999,1.449999,1.189999,1.25,364300,14.999993
2015-02-02,1.199999,1.399999,1.14,1.309999,240000,15.719994
2015-01-02,1.539999,1.589999,1.05,1.199999,389700,14.399994
2014-12-01,1.649999,1.769999,1.449999,1.539999,338000,18.479992
2014-11-03,2.079999,2.299999,1.639999,1.669999,382700,20.039993
2014-10-01,2.129999,2.139999,1.549999,2.019999,392800,24.23999
2014-09-02,2.539999,2.679999,2.029999,2.089999,459600,25.07999
2014-08-01,2.499999,2.839999,2.239999,2.539999,590300,30.479986
2014-07-01,2.399999,2.649999,2.039999,2.479999,672500,29.759987
2014-06-02,2.399999,2.599999,2.009999,2.399999,538200,28.799988
2014-05-01,2.249999,2.479999,1.859999,2.339999,497300,28.079988
2014-04-01,2.469999,2.809999,2.039999,2.269999,1037900,27.239988
2014-03-03,1.929999,4.739998,1.859999,2.479999,4667700,29.759987
2014-02-03,1.479999,2.079999,1.37,1.949999,549700,23.39999
2014-01-02,1.479999,1.949999,1.299999,1.429999,651100,17.159992
2013-12-02,1.359999,1.889999,1.279999,1.409999,546500,16.919992
2013-11-01,1.339999,1.569999,1.309999,1.37,181900,16.439993
2013-10-01,1.289999,1.569999,1.179999,1.339999,182700,16.079992
2013-09-03,1.26,1.409999,1.21,1.289999,194100,15.479993
2013-08-01,1.24,1.279999,1.12,1.24,112700,14.879993
2013-07-01,1.27,1.409999,1.199999,1.22,130200,14.639995
2013-06-03,1.279999,1.629999,1.10,1.279999,394000,15.359993
2013-05-01,1.06,1.639999,1.00,1.279999,297800,15.359993
2013-04-01,0.94,1.10,0.84,1.05,105500,12.599995
2013-03-01,1.07,1.11,0.93,0.94,76700,11.279995
2013-02-01,1.09,1.149999,0.96,1.06,67000,12.719995
2013-01-02,0.94,1.299999,0.94,1.09,143600,13.079994
2012-12-03,0.87,1.06,0.84,0.92,107300,11.039995
2012-11-01,0.93,1.179999,0.83,0.86,104200,10.319995
2012-10-01,0.89,1.01,0.85,0.93,54600,11.159995
2012-09-04,0.98,1.02,0.85,0.88,87800,10.559996
2012-08-01,1.05,1.10,0.91,0.99,86000,11.879995
2012-07-02,1.029999,1.149999,1.00,1.039999,74300,12.479995
2012-06-01,1.339999,1.359999,0.95,1.01,181300,12.119995
2012-05-01,1.23,1.389999,0.92,1.35,167400,16.199993
2012-04-02,1.539999,1.559999,1.22,1.24,135200,14.879993
2012-03-01,1.489999,1.949999,1.35,1.569999,296600,18.839993
2012-02-01,0.99,1.789999,0.97,1.489999,241900,17.879992
2012-01-03,0.87,1.029999,0.87,0.98,77600,11.759995
2011-12-01,0.92,1.12,0.86,0.87,94700,10.439995
2011-11-01,1.01,1.06,0.83,0.93,89900,11.159995
2011-10-03,0.89,1.11,0.80,1.07,119500,12.839994
2011-09-01,1.169999,1.389999,0.83,0.84,205500,10.079996
2011-08-01,1.419999,1.419999,0.98,1.179999,148800,14.159994
2011-07-01,1.319999,1.489999,1.25,1.329999,155000,15.959993
2011-06-01,1.899999,1.919999,1.26,1.309999,225600,15.719994
2011-05-02,1.709999,1.969999,1.35,1.899999,267200,22.79999
2011-04-01,2.149999,2.179999,1.639999,1.709999,150000,20.519993
2011-03-01,1.759999,2.229999,1.629999,2.139999,291900,25.679989
2011-02-01,1.849999,2.029999,1.549999,1.749999,147200,20.99999
2011-01-03,2.399999,2.409999,1.749999,1.749999,199300,20.99999
2010-12-01,1.169999,2.339999,1.159999,2.309999,300500,27.719988
2010-11-01,1.149999,1.629999,1.12,1.13,163800,13.559995
2010-10-01,1.24,1.25,1.12,1.14,72200,13.679995
2010-09-01,1.14,1.25,1.039999,1.23,111900,14.759995
2010-08-02,1.379999,1.409999,0.98,1.13,109400,13.559995
2010-07-01,1.179999,1.419999,1.02,1.309999,209100,15.719994
2010-06-01,2.119999,2.719999,1.12,1.179999,233700,14.159994
2010-05-03,2.789999,2.949999,1.999999,2.149999,56600,25.799988
2010-04-01,3.049999,3.099999,2.749999,2.749999,70100,32.999985
2010-03-01,2.839999,3.399998,2.729999,2.819999,79700,33.839985
2010-02-01,2.839999,3.319999,2.569999,2.809999,59500,33.719986
2010-01-04,3.769999,4.019999,2.809999,2.819999,66800,33.839985
2009-12-01,3.089999,3.839998,2.759999,3.759998,140400,45.11998
2009-11-02,3.379999,3.699999,3.019999,3.059999,42600,36.719986
2009-10-01,4.209998,4.289998,3.319999,3.329998,52300,39.959984
2009-09-01,3.619998,4.609998,3.269999,4.269999,93800,51.239979
2009-08-03,4.099998,4.189998,3.589999,3.649998,44600,43.79998
2009-07-01,4.199998,4.269999,3.519999,4.009998,57300,48.11998
2009-06-01,3.399998,5.469998,3.359998,4.179998,171400,50.159981
2009-05-01,3.169999,3.479998,2.759999,3.379999,39700,40.559986
2009-04-01,2.369999,3.439998,2.349999,3.179999,51900,38.159985
2009-03-02,2.699999,2.999999,1.979999,2.399999,83300,28.799988
2009-02-02,3.839998,4.059999,2.599999,2.759999,40000,33.119984
2009-01-02,3.899998,4.849998,3.749998,3.859998,67800,46.319981
2008-12-01,4.249998,4.999998,3.199999,3.879998,81200,46.559982
2008-11-03,4.739998,5.479998,2.249999,4.359998,68300,52.319977
2008-10-01,5.989997,6.169998,3.099999,4.779998,78600,57.359978
2008-09-02,7.149997,7.329997,5.199998,6.029997,102800,72.35997
2008-08-01,8.219996,8.829996,6.849997,6.939997,74800,83.279961
2008-07-01,6.999997,8.549996,6.499997,8.269997,58800,99.23996
2008-06-02,10.179996,10.299995,7.079997,7.099997,91300,85.199959
2008-05-01,8.829996,10.169996,8.289997,10.129995,62400,121.559944
2008-04-01,7.029997,9.239996,6.639997,8.829996,91900,105.959953
2008-03-03,7.169997,7.449997,5.429998,6.649998,117900,79.799973
2008-02-01,8.459996,8.739996,7.099997,7.159997,85200,85.91996
2008-01-02,9.999996,10.369996,7.079997,8.409996,150200,100.919952
2007-12-03,9.119996,13.139994,8.929996,9.919996,233100,119.039948
2007-11-01,10.099996,10.149996,8.499996,9.069996,77700,108.839951
2007-10-01,9.089996,10.479996,8.879996,10.059996,73000,120.719948
2007-09-04,9.619996,10.569995,8.709996,8.889997,105100,106.679955
2007-08-01,7.639997,9.899996,7.219997,9.619996,122800,115.439957
2007-07-02,7.999997,8.399997,7.119997,7.359997,84700,88.319962
2007-06-01,6.909997,8.179996,6.809997,7.919997,126500,95.039963
2007-05-01,7.069997,7.249997,6.299997,6.899997,136400,82.799965
2007-04-02,7.909997,8.479997,6.989997,7.039998,174300,84.479965
2007-03-01,6.749997,9.299996,6.149998,7.859997,154500,94.319962
2007-02-01,6.639997,8.039997,6.399998,6.899997,92900,82.799965
2007-01-03,6.499997,7.149997,5.839998,6.609997,93700,79.319969
2006-12-01,6.549997,6.719997,5.969997,6.459997,86800,77.519966
2006-11-01,6.609997,7.369997,6.399998,6.519997,67000,78.239967
2006-10-02,7.649997,7.749997,6.589997,6.619998,60100,79.439972
2006-09-01,9.789996,9.899996,7.599997,7.609997,57300,91.319962
2006-08-01,8.789996,9.899996,8.249996,9.739996,28400,116.879951
2006-07-03,9.529996,9.729996,8.289997,8.829996,33100,105.959953
2006-06-01,10.429996,10.929996,8.729997,9.579996,53800,114.959953
2006-05-01,13.079995,13.969995,9.549995,10.459995,72200,125.519943
2006-04-03,11.499995,14.999993,10.869996,13.129994,81200,157.559937
2006-03-01,11.119995,12.089995,9.849996,11.469995,62400,137.639938
2006-02-01,11.149996,11.419994,9.219996,11.129995,69200,133.559937
2006-01-03,8.479997,10.899996,8.409996,10.809996,76100,129.71994
2005-12-01,8.489996,9.459996,8.259996,8.469996,46600,101.639954
2005-11-01,8.749996,9.299996,7.899997,8.439997,48200,101.279953
2005-10-03,11.109996,11.209995,8.249996,8.759996,49900,105.119957
2005-09-01,11.739996,12.249995,10.169996,10.969995,77000,131.639938
2005-08-01,9.899996,11.669994,9.269996,11.389995,92100,136.679932
2005-07-01,10.259996,10.939996,9.899996,9.899996,66000,118.799957
2005-06-01,8.279997,10.529996,7.689997,10.209995,100300,122.519943
2005-05-02,8.019997,8.199997,7.049997,8.149997,57600,97.799965
2005-04-01,10.079996,10.119996,7.709997,7.999997,66500,95.999962
2005-03-01,10.819995,12.059995,9.509996,9.979996,77000,119.759949
2005-02-01,9.149997,11.449995,8.829996,10.799996,105000,129.599945
2005-01-03,10.059996,10.189996,8.449997,9.119996,72800,109.439957
2004-12-01,10.449996,10.499995,7.979997,9.899996,109400,118.799957
2004-11-01,12.399995,13.449994,9.699996,10.049995,109800,120.599945
2004-10-01,10.189996,13.359995,10.189996,12.339995,110900,148.079941
2004-09-01,10.029996,11.149996,9.279996,10.249996,72600,122.999947
2004-08-02,10.139996,10.359996,7.159997,9.959995,88300,119.519943
2004-07-01,11.849995,11.859996,8.299996,9.939996,96500,119.279945
2004-06-01,15.749993,16.969994,11.059996,11.679996,95400,140.159943
2004-05-03,16.499992,17.589993,14.249994,15.869993,79400,190.439926
2004-04-01,13.579995,20.299992,13.339994,16.559994,135200,198.719925
2004-03-01,13.009995,14.779994,12.399995,13.559995,52100,162.71994
2004-02-02,13.099995,13.949994,11.539995,13.069994,41100,156.839935
2004-01-02,13.149995,15.629993,12.599995,12.999994,59100,155.999939
2003-12-01,13.599994,13.999994,10.749995,13.019995,48000,156.239944
2003-11-03,15.699993,17.789991,12.719995,13.459994,69300,161.519943
2003-10-01,11.699995,15.799994,11.499995,15.279994,75900,183.359924
2003-09-02,10.289996,14.339994,9.099996,11.699995,99200,140.399933
2003-08-01,7.999997,10.739996,6.759997,10.199996,86000,122.399948
2003-07-01,8.199997,9.299996,7.599997,8.039997,20500,96.479965
2003-06-02,9.549995,9.779996,7.599997,8.189997,46400,98.279961
2003-05-01,6.299997,10.059996,6.039998,9.309997,60700,111.719955
2003-04-01,5.119998,6.449997,5.039998,6.159997,27700,73.919968
2003-03-03,6.089998,6.099997,4.999998,5.049998,29100,60.599972
2003-02-03,5.619998,6.429997,5.179998,5.879997,42900,70.559967
2003-01-02,6.689997,7.209997,5.249998,5.789998,43300,69.479973
