Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.75,3.85,3.32,3.52,48800,3.52
2016-06-01,4.65,4.65,3.74,3.78,29900,3.78
2016-05-02,3.93,5.18,3.89,4.69,43200,4.69
2016-04-01,3.51,4.24,3.41,3.91,22000,3.91
2016-03-01,3.14,3.69,3.01,3.53,63400,3.53
2016-02-01,2.70,3.30,2.45,3.11,50400,3.11
2016-01-04,3.47,3.47,2.39,2.70,66200,2.70
2015-12-01,3.98,3.98,2.97,3.43,62400,3.43
2015-11-02,4.19,4.44,3.75,3.92,33400,3.92
2015-10-01,4.51,5.08,4.07,4.22,45200,4.22
2015-09-01,4.80,4.96,4.10,4.49,64800,4.49
2015-08-03,5.60,5.64,4.30,4.89,82300,4.89
2015-07-01,6.80,6.80,5.50,5.63,100000,5.63
2015-06-01,6.90,7.10,6.51,6.75,39600,6.75
2015-05-01,6.64,6.91,6.39,6.84,84200,6.84
2015-04-01,6.68,7.10,6.29,6.61,69700,6.61
2015-03-02,6.17,6.88,5.67,6.55,106100,6.55
2015-02-02,5.33,6.55,5.30,6.15,181500,6.15
2015-01-02,6.31,6.48,5.25,5.28,144900,5.28
2014-12-01,7.14,7.25,5.24,6.31,355200,6.31
2014-11-03,8.41,8.73,7.21,7.26,127900,7.26
2014-10-01,9.15,9.16,6.78,8.40,213600,8.40
2014-09-02,9.79,10.08,8.88,9.11,127000,9.11
2014-08-01,10.69,10.71,9.45,9.79,155000,9.79
2014-07-01,11.07,11.60,10.52,10.70,69100,10.70
2014-06-02,10.50,11.90,10.01,11.10,134000,11.10
2014-05-01,10.87,11.24,9.90,10.50,120800,10.50
2014-04-01,11.36,11.75,10.49,10.84,88600,10.84
2014-03-03,10.40,11.93,10.40,11.37,155500,11.37
2014-02-03,9.66,10.74,9.66,10.51,146000,10.51
2014-01-02,10.08,10.83,9.40,9.60,169900,9.60
2013-12-02,12.29,12.30,9.80,10.19,230200,10.19
2013-11-01,11.49,13.00,11.39,12.28,204100,12.28
2013-10-01,9.30,12.86,9.03,11.50,293000,11.50
2013-09-03,8.92,9.47,8.65,9.14,116600,9.14
2013-08-01,10.15,10.33,7.30,8.88,250900,8.88
2013-07-01,10.98,11.20,9.77,10.09,182200,10.09
2013-06-03,10.56,11.49,10.00,11.00,236800,11.00
2013-05-01,10.27,10.93,9.19,10.57,279300,10.57
2013-04-01,11.88,11.88,9.80,10.34,431500,10.34
2013-03-01,10.46,12.10,10.06,11.99,187800,11.99
2013-02-01,9.01,10.50,8.41,10.47,196700,10.47
2013-01-02,8.08,10.30,7.91,9.04,179900,9.04
2012-12-03,7.59,8.40,7.30,7.93,50900,7.93
2012-11-01,6.84,7.60,6.43,7.54,59500,7.54
2012-10-01,6.74,7.38,6.25,6.80,74500,6.80
2012-09-04,6.28,7.00,5.78,6.79,38100,6.79
2012-08-01,5.92,6.30,5.73,6.23,23600,6.23
2012-07-02,5.88,6.08,5.50,5.94,26200,5.94
2012-06-01,5.50,6.05,5.17,5.81,24900,5.81
2012-05-01,6.26,6.72,5.47,5.56,49200,5.56
2012-04-02,5.90,6.50,5.34,6.30,59100,6.30
2012-03-01,4.80,6.30,4.67,5.90,86200,5.90
2012-02-01,4.30,5.00,4.16,4.80,55300,4.80
2012-01-03,3.93,4.62,3.88,4.27,24400,4.27
2011-12-01,3.81,4.12,3.75,3.86,32600,3.86
2011-11-01,4.04,4.25,3.60,3.85,30800,3.85
2011-10-03,3.89,4.27,3.50,4.15,23000,4.15
2011-09-01,4.24,4.38,3.66,3.92,43700,3.92
2011-08-01,4.75,4.97,3.40,4.26,96700,4.26
2011-07-01,4.29,4.82,4.15,4.57,122800,4.57
2011-06-01,4.89,5.00,4.15,4.28,65000,4.28
2011-05-02,5.96,6.13,4.91,4.93,69400,4.93
2011-04-01,6.35,7.20,5.89,5.98,96200,5.98
2011-03-01,7.01,7.06,5.50,6.29,56500,6.29
2011-02-01,6.94,7.25,6.41,6.99,39300,6.99
2011-01-03,8.24,8.80,6.67,6.93,79300,6.93
