Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.77,2.33,1.64,1.88,197200,1.88
2016-06-01,1.51,1.82,1.50,1.77,80100,1.77
2016-05-02,1.93,1.93,1.51,1.51,91100,1.51
2016-04-01,2.09,2.09,1.64,1.95,109900,1.95
2016-03-01,1.72,2.72,1.68,2.11,140000,2.11
2016-02-01,1.85,2.16,1.46,1.73,141000,1.73
2016-01-04,3.66,3.84,1.75,1.82,298300,1.82
2015-12-01,4.10,4.27,3.59,3.66,96700,3.66
2015-11-02,5.40,5.55,3.58,4.12,167700,4.12
2015-10-01,4.84,5.85,4.70,5.40,63500,5.40
2015-09-01,4.77,6.58,4.73,4.87,128900,4.87
2015-08-03,3.35,5.34,3.26,4.80,205300,4.80
2015-07-01,3.35,3.88,3.21,3.35,151900,3.35
2015-06-01,3.88,4.00,3.17,3.34,403600,3.34
2015-05-01,5.72,5.97,3.67,3.85,334500,3.85
2015-04-01,6.10,6.49,5.44,5.72,109200,5.72
2015-03-02,6.41,6.63,5.52,6.13,129200,6.13
2015-02-02,5.56,6.87,5.47,6.40,161500,6.40
2015-01-02,7.60,7.64,5.03,5.49,473000,5.49
2014-12-01,6.37,8.22,6.00,7.57,261700,7.57
2014-11-03,5.25,7.17,4.57,6.35,348600,6.35
2014-10-01,6.28,6.83,5.17,5.18,273300,5.18
2014-09-02,7.13,7.23,5.85,6.31,165700,6.31
2014-08-01,7.12,7.74,6.76,7.15,184400,7.15
2014-07-01,10.25,11.28,7.03,7.11,314200,7.11
2014-06-02,9.30,10.50,8.67,10.17,290700,10.17
2014-05-01,8.61,9.50,8.02,9.20,259200,9.20
2014-04-01,9.66,10.21,7.39,8.62,443200,8.62
2014-03-03,10.46,10.76,8.84,9.61,475100,9.61
2014-02-03,8.24,11.06,7.23,10.59,920400,10.59
2014-01-02,13.96,14.19,8.07,8.26,871900,8.26
2013-12-02,14.90,15.10,13.63,13.97,284800,13.97
2013-11-01,15.36,17.24,14.56,14.90,355300,14.90
2013-10-01,17.84,18.790001,14.45,15.51,388100,15.51
2013-09-03,18.200001,20.75,16.73,17.91,341300,17.91
2013-08-01,16.00,19.41,14.61,18.110001,316100,18.110001
2013-07-01,16.08,16.33,14.75,15.69,185200,15.69
2013-06-03,15.58,17.709999,14.51,15.97,390600,15.97
2013-05-01,13.45,16.059999,13.31,15.59,405800,15.59
2013-04-01,11.04,14.22,11.00,13.51,303900,13.51
2013-03-01,9.37,11.65,9.27,11.05,266000,11.05
2013-02-01,8.55,10.45,8.51,9.36,411200,9.36
2013-01-02,7.28,8.76,6.87,8.48,493000,8.48
2012-12-03,7.44,8.25,6.73,7.02,279500,7.02
2012-11-01,6.07,8.84,6.04,7.40,532400,7.40
2012-10-01,6.92,7.72,5.84,6.04,269300,6.04
2012-09-04,7.10,8.79,6.74,6.90,329700,6.90
2012-08-01,6.91,7.33,6.08,7.09,380000,7.09
2012-07-02,11.30,12.05,6.26,6.88,692800,6.88
2012-06-01,10.56,11.35,9.88,11.31,236000,11.31
2012-05-01,10.45,11.17,9.22,10.75,273900,10.75
2012-04-02,11.37,11.99,10.26,10.46,244600,10.46
