Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,8.89,11.25,7.36,9.77,77100,9.77
2016-06-01,1.19,17.00,1.04,9.15,1779100,9.15
2016-05-02,1.35,1.43,1.03,1.19,1100,1.19
2016-04-01,1.20,1.67,1.20,1.32,5600,1.32
2016-03-01,1.31,1.53,1.08,1.20,1300,1.20
2016-02-01,1.60,1.71,1.25,1.50,300,1.50
2016-01-04,1.39,2.00,1.23,1.60,2400,1.60
2015-12-01,1.64,1.86,1.31,1.39,10500,1.39
2015-11-02,2.14,2.20,1.62,1.69,2900,1.69
2015-10-01,2.08,2.20,2.03,2.14,500,2.14
2015-09-01,2.18,2.37,2.08,2.08,1100,2.08
2015-08-03,2.07,2.59,2.05,2.18,2800,2.18
2015-07-01,2.35,2.53,2.03,2.07,1600,2.07
2015-06-01,2.44,2.49,2.07,2.43,2000,2.43
2015-05-01,2.68,2.96,2.18,2.47,3100,2.47
2015-04-01,2.54,3.68,2.24,2.41,21200,2.41
2015-03-02,4.12,4.24,2.36,2.50,10800,2.50
2015-02-02,1.85,5.70,1.46,4.15,79400,4.15
2015-01-02,1.83,2.01,1.40,1.63,1500,1.63
2014-12-01,2.31,2.47,1.70,2.00,2400,2.00
2014-11-03,2.41,3.39,2.41,2.45,2400,2.45
2014-10-01,2.61,2.75,2.03,2.30,2000,2.30
2014-09-02,3.70,4.09,2.26,2.61,3800,2.61
2014-08-01,3.78,4.04,3.23,3.71,2700,3.71
2014-07-01,3.86,4.91,3.52,3.89,18200,3.89
2014-06-02,4.06,4.45,3.55,3.97,5600,3.97
2014-05-01,4.36,5.35,3.61,4.06,8500,4.06
2014-04-01,4.99,5.28,3.49,4.36,2200,4.36
2014-03-03,5.51,5.99,4.99,5.15,1200,5.15
2014-02-03,5.82,6.54,5.29,5.54,5100,5.54
2014-01-02,5.70,7.30,5.55,5.68,10200,5.60259
2013-12-02,6.70,6.80,5.44,5.75,5100,5.671636
2013-11-01,5.40,7.86,5.00,6.61,7900,6.519915
2013-10-01,6.55,7.72,5.37,5.44,5000,5.36586
2013-09-03,5.50,9.43,5.19,6.50,29400,6.411414
2013-08-01,4.25,9.50,3.82,5.90,46900,5.819592
2013-07-01,4.02,5.15,4.00,4.35,500,4.290716
2013-06-03,4.01,4.47,3.61,4.44,500,4.379489
2013-05-01,3.28,5.24,3.20,4.01,2000,3.955349
2013-04-01,3.40,3.70,2.99,3.40,4300,3.353663
2013-03-01,3.28,3.50,3.00,3.40,900,3.353663
2013-02-01,3.03,3.40,3.02,3.28,1100,3.235298
2013-01-02,3.72,4.77,2.97,3.01,11300,2.88415
2012-12-03,2.53,3.90,2.40,3.69,5300,3.535719
2012-11-01,2.06,3.00,2.05,2.53,3200,2.424219
2012-10-01,2.15,2.15,1.92,2.00,300,1.916379
2012-09-04,2.24,2.73,1.81,2.30,2500,2.203835
2012-08-01,2.29,3.15,2.16,2.67,1300,2.558366
2012-07-02,3.12,3.70,2.31,2.36,3200,2.261327
2012-06-01,1.97,4.12,1.97,2.92,7500,2.797913
2012-05-01,3.25,3.72,2.00,2.00,2900,1.916379
2012-04-02,3.86,4.70,3.01,3.25,3400,3.114115
2012-03-01,2.45,7.00,2.22,3.82,17800,3.660283
2012-02-01,2.17,3.10,1.71,2.90,2700,2.778749
2012-01-03,2.01,2.44,1.77,2.15,1300,2.060107
2011-12-01,2.07,3.90,1.20,2.01,18300,1.925961
2011-11-01,0.87,2.49,0.87,2.07,9600,1.983452
2011-10-03,1.06,2.00,0.74,0.86,600,0.824043
2011-09-01,1.45,1.80,1.09,1.17,200,1.121081
2011-08-01,2.20,2.20,0.64,1.70,2500,1.628922
2011-07-01,3.32,3.32,1.39,2.20,400,2.108017
2011-06-01,0.88,3.25,0.73,3.20,200,3.066206
2011-05-02,0.89,1.00,0.73,0.88,600,2.108017
2011-04-01,0.88,0.98,0.75,0.78,100,1.868469
2011-03-01,0.82,0.99,0.69,0.88,500,2.108017
2011-02-01,1.03,1.13,0.84,0.99,1100,2.371519
2011-01-03,0.84,1.38,0.78,1.03,3700,2.467338
2010-12-01,0.73,1.00,0.60,0.66,1900,1.581012
2010-11-01,0.83,0.83,0.55,0.73,200,1.748696
2010-10-01,0.68,1.19,0.64,0.80,1600,1.916379
2010-09-01,0.80,0.80,0.65,0.75,200,1.796605
2010-08-02,0.90,0.90,0.69,0.70,100,1.676831
2010-07-01,0.85,0.93,0.65,0.89,000,2.131971
2010-06-01,1.06,1.20,0.73,0.85,500,2.036152
2010-05-03,1.21,1.25,0.82,1.00,1600,2.395473
2010-04-01,1.29,1.60,1.12,1.16,2600,2.778749
2010-03-01,0.76,4.05,0.69,1.23,58400,2.946432
2010-02-01,0.77,0.84,0.57,0.76,200,1.82056
2010-01-04,1.40,1.40,0.71,0.82,600,1.964288
2009-12-01,1.31,1.40,0.25,0.71,900,1.700786
2009-11-02,2.18,2.18,1.03,1.42,1800,3.401572
2009-10-01,0.42,1.08,0.42,0.99,500,2.371519
2009-09-01,0.55,0.55,0.30,0.42,200,1.006099
2009-08-03,0.40,0.55,0.25,0.55,300,1.31751
2009-07-01,0.44,0.44,0.43,0.44,000,1.054008
2009-06-01,0.45,0.45,0.15,0.44,300,1.054008
2009-05-01,0.45,0.45,0.35,0.45,100,1.077963
2009-04-01,0.60,0.60,0.20,0.45,100,1.077963
2009-03-02,0.54,0.60,0.20,0.60,100,1.437284
2009-02-02,0.49,0.55,0.24,0.54,000,1.293556
2009-01-02,0.35,0.68,0.35,0.49,000,1.173782
2008-12-01,0.53,0.70,0.01,0.45,200,1.077963
2008-11-03,0.80,1.10,0.58,0.67,300,1.604967
2008-10-01,1.70,1.80,0.53,1.10,300,2.635021
2008-09-02,1.51,2.24,1.25,1.82,200,4.359762
2008-08-01,1.85,1.85,1.19,1.51,100,3.617165
2008-07-01,1.90,2.04,1.13,1.85,300,4.431626
2008-06-02,2.27,2.27,1.78,1.98,000,4.743037
2008-05-01,2.00,2.40,1.52,2.27,300,5.437725
2008-04-01,2.20,2.20,1.17,2.00,000,4.790947
2008-03-03,2.25,2.31,1.56,2.24,100,5.36586
2008-02-01,2.30,2.30,1.71,2.25,000,5.389815
2008-01-02,2.06,2.85,1.78,2.29,700,5.485634
2007-12-03,2.69,2.91,1.72,1.90,1400,4.5514
2007-11-01,3.34,3.45,2.01,2.70,500,6.467778
2007-10-01,3.43,3.45,3.16,3.34,400,8.000882
2007-09-04,2.68,3.65,2.68,3.45,300,8.264383
2007-08-01,4.52,4.80,2.47,3.05,800,7.306194
2007-07-02,4.80,5.38,4.01,4.71,600,11.28268
2007-06-01,4.97,5.09,4.34,4.92,600,11.785729
2007-05-01,4.10,4.98,3.85,4.97,2100,11.905503
2007-04-02,3.89,4.16,3.87,4.01,1200,9.605848
2007-03-01,3.89,4.01,3.70,3.87,400,9.270482
2007-02-01,3.06,4.17,2.75,3.85,3500,9.222573
2007-01-03,3.24,3.35,3.10,3.24,300,7.761334
2006-12-01,3.65,5.00,3.05,3.18,2500,7.617605
2006-11-01,3.80,3.87,2.78,3.63,1400,8.695568
2006-10-02,3.63,3.95,3.55,3.80,500,9.102799
