Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.20,5.20,4.23,4.26,48800,4.26
2016-06-01,5.76,5.76,5.25,5.34,12300,5.34
2016-05-02,5.90,6.29,5.25,5.40,14700,5.40
2016-04-01,6.49,6.88,5.65,5.72,4800,5.72
2016-03-01,7.02,7.47,6.19,6.37,5200,6.37
2016-02-01,7.12,7.85,6.07,7.02,2100,7.02
2016-01-04,7.61,8.02,5.93,7.50,4700,7.50
2015-12-01,7.35,7.71,6.13,7.58,6400,7.58
2015-11-02,8.15,8.48,6.97,7.41,4200,7.41
2015-10-01,8.08,8.65,7.70,8.25,2500,8.25
2015-09-01,6.25,8.30,6.25,8.11,5200,8.11
2015-08-03,6.87,7.07,5.59,6.90,3800,6.90
2015-07-01,7.27,7.64,6.37,7.10,6200,7.10
2015-06-01,7.95,8.15,7.03,7.32,7300,7.32
2015-05-01,7.66,7.98,7.11,7.95,6300,7.95
2015-04-01,7.83,8.16,7.15,7.74,9000,7.74
2015-03-02,7.51,8.29,7.20,8.01,15300,8.01
2015-02-02,7.66,8.50,7.00,7.31,23600,7.31
2015-01-02,6.54,8.20,6.54,7.40,17500,7.40
2014-12-01,6.26,6.87,6.01,6.87,18100,6.87
2014-11-03,6.21,6.77,5.55,6.25,17200,6.25
2014-10-01,6.34,6.95,5.65,6.13,10900,6.13
2014-09-02,6.70,6.70,5.74,5.99,7800,5.99
2014-08-01,6.74,7.57,6.56,6.62,10500,6.62
2014-07-01,8.87,8.88,6.39,6.73,21900,6.73
2014-06-02,6.86,8.90,6.69,8.57,32600,8.57
2014-05-01,6.75,7.45,6.15,6.99,26700,6.99
2014-04-01,4.54,6.99,4.42,6.61,46900,6.61
2014-03-03,4.75,5.11,4.42,4.50,3500,4.50
2014-02-03,4.43,5.04,4.19,4.75,8100,4.75
2014-01-02,3.89,4.96,3.78,4.43,7300,4.43
2013-12-02,4.04,4.10,3.42,3.85,7700,3.85
2013-11-01,4.49,4.60,3.91,4.01,6000,4.01
2013-10-01,3.93,4.60,3.81,4.49,7500,4.49
2013-09-03,3.97,4.70,3.01,3.91,11500,3.91
2013-08-01,3.85,4.50,2.75,3.97,14700,3.97
2013-07-01,3.50,3.93,3.45,3.77,1800,3.77
2013-06-03,4.01,4.14,3.26,3.51,3800,3.51
2013-05-01,3.99,5.00,3.75,3.85,2600,3.85
2013-04-01,4.50,5.14,3.85,4.00,3200,4.00
2013-03-01,4.56,5.24,4.11,4.57,1700,4.57
2013-02-01,4.70,5.45,4.56,4.56,2500,4.56
2013-01-02,4.25,4.75,4.00,4.70,3100,4.70
2012-12-03,4.99,5.01,4.03,4.05,1600,4.05
2012-11-01,4.93,5.00,4.10,5.00,2700,5.00
