Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.29,3.56,2.24,2.56,131000,2.56
2016-06-01,2.27,2.44,2.24,2.24,9300,2.24
2016-05-02,2.41,2.71,2.10,2.30,6900,2.30
2016-04-01,2.76,2.90,2.34,2.46,11800,2.46
2016-03-01,2.82,2.98,2.60,2.78,8600,2.78
2016-02-01,3.01,3.20,2.76,2.82,9600,2.82
2016-01-04,3.60,3.66,2.56,3.18,20500,3.18
2015-12-01,3.75,3.89,3.60,3.65,13600,3.65
2015-11-02,3.89,3.89,3.52,3.79,19000,3.79
2015-10-01,3.64,3.99,3.60,3.79,6600,3.79
2015-09-01,3.96,4.28,3.63,3.75,22400,3.75
2015-08-03,4.40,4.58,3.15,4.14,43600,4.14
2015-07-01,3.48,4.91,3.35,4.35,98500,4.35
2015-06-01,3.00,3.58,2.98,3.47,59300,3.47
2015-05-01,2.65,3.33,2.45,3.01,274600,3.01
2015-04-01,2.34,3.46,2.33,2.70,189400,2.70
2015-03-02,2.57,2.92,2.30,2.31,106400,2.31
2015-02-02,2.24,2.83,2.20,2.59,55800,2.59
2015-01-02,2.70,2.78,2.21,2.24,64000,2.24
2014-12-01,2.57,4.13,2.35,2.66,751000,2.66
2014-11-03,2.25,3.08,2.03,2.57,311100,2.57
2014-10-01,3.43,3.49,1.89,2.27,639800,2.27
2014-09-02,3.91,9.94,3.42,3.54,5020300,3.54
2014-08-01,2.58,4.69,2.10,3.71,1560400,3.71
2014-07-01,3.30,3.50,2.40,2.54,42600,2.54
2014-06-02,4.09,4.17,3.16,3.30,30800,3.30
2014-05-01,4.57,4.70,4.02,4.19,23200,4.19
2014-04-01,5.30,5.37,4.56,4.66,28000,4.66
2014-03-03,5.11,5.85,4.74,5.25,24700,5.25
2014-02-03,5.20,5.74,4.80,5.18,14900,5.18
2014-01-02,4.86,5.99,4.85,5.09,6700,5.09
2013-12-02,5.73,5.73,4.78,4.95,16800,4.95
2013-11-01,6.90,7.00,5.25,5.91,5100,5.91
2013-10-01,7.16,7.39,6.80,6.90,4300,6.90
2013-09-03,7.10,7.50,6.61,7.10,7300,7.10
2013-08-01,7.10,7.65,6.80,6.99,5200,6.99
2013-07-01,7.35,8.28,6.50,7.27,4200,7.27
2013-06-03,5.08,7.70,5.00,7.35,34000,7.35
2013-05-01,5.10,5.29,4.89,5.08,5300,5.08
2013-04-01,4.71,5.30,4.62,5.02,7300,5.02
2013-03-01,5.38,6.00,4.29,4.61,34900,4.61
2013-02-01,5.18,5.60,5.13,5.37,27100,5.37
2013-01-02,5.03,5.19,4.91,5.18,5200,5.18
2012-12-03,5.10,5.15,4.88,4.97,3100,4.97
2012-11-01,5.15,5.30,4.79,5.15,2000,5.15
2012-10-01,4.82,5.15,4.57,5.10,2000,5.10
2012-09-04,5.15,5.26,4.82,4.82,1200,4.82
2012-08-01,5.09,5.29,4.61,5.03,1900,5.03
2012-07-02,4.77,5.48,4.77,5.08,2700,5.08
2012-06-01,5.20,5.63,4.64,5.10,4200,5.10
2012-05-01,6.80,7.70,5.10,5.15,3200,5.15
2012-04-02,6.65,7.80,6.60,7.04,3500,7.04
2012-03-01,6.35,7.15,6.02,6.75,3300,6.75
2012-02-01,6.32,7.26,6.07,6.27,2200,6.27
2012-01-03,6.64,7.13,6.05,6.34,2400,6.34
2011-12-01,6.24,6.62,5.21,6.52,9400,6.52
2011-11-01,6.16,6.45,4.91,6.11,8900,6.11
2011-10-03,6.68,7.16,6.10,6.98,2900,6.98
2011-09-01,7.29,7.59,6.20,6.50,4000,6.50
2011-08-01,10.64,10.64,5.76,7.30,12800,7.30
2011-07-01,11.29,11.29,10.10,10.10,1300,10.10
2011-06-01,10.69,11.90,10.27,11.30,3400,11.30
2011-05-02,11.94,12.07,9.85,10.69,10400,10.69
2011-04-01,13.63,13.94,11.20,11.95,8100,11.95
2011-03-01,13.60,14.34,13.15,13.73,4600,13.73
2011-02-01,12.83,14.34,12.83,13.67,4300,13.67
2011-01-03,13.01,14.20,12.58,13.76,6800,13.76
2010-12-01,11.98,13.45,11.95,13.01,10000,13.01
2010-11-01,11.82,13.50,11.10,12.31,20800,12.31
2010-10-01,11.20,12.19,11.10,11.59,2900,11.59
2010-09-01,10.63,12.00,10.10,11.20,4400,11.20
2010-08-02,11.75,12.90,10.14,10.69,7600,10.69
2010-07-01,13.10,13.50,11.83,12.04,3800,12.04
2010-06-01,12.30,13.75,12.30,13.45,11600,13.45
2010-05-03,13.90,14.47,12.22,12.85,6100,12.85
2010-04-01,13.03,13.95,12.20,13.50,3800,13.50
2010-03-01,12.79,14.68,12.42,13.07,8600,13.07
2010-02-01,13.59,15.53,12.05,13.28,7600,13.28
2010-01-04,11.50,14.20,11.50,13.20,4800,13.20
2009-12-01,13.33,13.71,11.40,11.40,3600,11.40
2009-11-02,12.50,14.36,11.21,13.71,4400,13.71
2009-10-01,12.47,13.59,11.16,12.15,3600,12.15
2009-09-01,11.10,13.67,10.95,12.94,5300,12.94
2009-08-03,9.07,11.50,9.07,11.02,8500,11.02
2009-07-01,9.25,9.62,8.53,9.25,2800,9.25
2009-06-01,8.94,9.87,8.50,9.30,8200,9.30
2009-05-01,10.02,10.25,8.01,9.44,5700,9.44
2009-04-01,8.89,10.25,8.15,9.76,5200,9.76
2009-03-02,7.20,8.91,7.00,8.90,5100,8.90
2009-02-02,7.20,7.80,6.70,7.30,5500,7.30
2009-01-02,7.12,11.41,6.40,7.30,7900,7.30
2008-12-01,7.50,8.50,6.37,6.37,5500,6.37
2008-11-03,9.99,10.99,6.12,7.50,5200,7.50
2008-10-01,11.60,12.00,7.80,9.20,7100,9.20
2008-09-02,14.05,14.45,10.71,11.63,6900,11.63
2008-08-01,14.49,14.78,13.50,13.82,2600,13.82
2008-07-01,12.87,15.12,12.10,14.49,6200,14.49
2008-06-02,14.73,14.99,12.20,12.87,1800,12.87
2008-05-01,13.06,16.40,13.06,14.99,4100,14.99
2008-04-01,12.35,14.17,11.37,14.17,3300,14.17
2008-03-03,15.84,15.95,12.08,12.30,7900,12.30
2008-02-01,15.57,16.15,14.26,15.90,9900,15.90
2008-01-02,17.40,17.50,14.25,15.59,19800,15.59
