Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,4.70,4.86,4.22,4.41,111700,4.41
2016-06-01,4.63,5.17,4.33,4.68,110800,4.68
2016-05-02,5.63,5.73,3.82,4.57,216600,4.57
2016-04-01,5.05,6.05,4.93,5.62,212600,5.62
2016-03-01,5.30,5.62,4.92,5.07,124500,5.07
2016-02-01,5.25,5.40,4.30,5.24,94100,5.24
2016-01-04,6.00,6.10,4.49,5.30,262100,5.30
2015-12-01,4.23,6.85,4.12,6.21,832500,6.21
2015-11-02,4.04,4.50,3.64,4.19,84700,4.19
2015-10-01,3.45,4.54,3.37,4.07,76600,4.07
2015-09-01,3.60,4.18,3.26,3.47,129500,3.47
2015-08-03,4.58,4.70,2.90,3.71,177600,3.71
2015-07-01,5.58,5.59,4.16,4.58,381200,4.58
2015-06-01,5.72,6.35,3.90,5.61,968500,5.61
2015-05-01,5.25,6.40,5.11,5.62,602000,5.62
2015-04-01,4.50,6.22,4.33,5.28,738200,5.28
2015-03-02,5.70,6.75,4.10,4.30,639600,4.30
2015-02-02,4.96,6.45,4.80,5.68,441900,5.68
2015-01-02,5.34,5.70,4.59,4.98,621500,4.98
2014-12-01,7.17,8.65,5.24,5.32,1852800,5.32
2014-11-03,5.75,7.95,5.51,7.23,1565400,7.23
2014-10-01,6.58,6.88,4.42,5.70,1361000,5.70
2014-09-02,9.77,9.77,6.84,6.87,3373400,6.87
2014-08-01,4.06,11.88,3.90,9.30,8185400,9.30
2014-07-01,4.19,4.75,3.83,4.11,273100,4.11
2014-06-02,3.26,5.10,3.15,4.17,843100,4.17
2014-05-01,3.68,3.77,2.33,3.28,436000,3.28
2014-04-01,4.62,6.40,3.46,3.72,611900,3.72
2014-03-03,6.59,6.98,4.12,4.57,302100,4.57
2014-02-03,7.34,7.81,6.00,6.69,310100,6.69
2014-01-02,6.31,8.20,5.40,7.30,811900,7.30
2013-12-02,4.10,6.45,3.73,6.29,512400,6.29
2013-11-01,2.51,4.16,2.46,4.03,245400,4.03
2013-10-01,1.84,3.33,1.80,2.51,299800,2.51
2013-09-03,1.61,1.97,1.61,1.86,32000,1.86
2013-08-01,1.28,2.10,1.25,1.62,66500,1.62
2013-07-01,1.25,1.37,1.14,1.25,15500,1.25
2013-06-03,1.51,1.57,1.22,1.25,21100,1.25
2013-05-01,1.35,1.74,1.25,1.52,33500,1.52
2013-04-01,1.35,1.46,1.24,1.36,23500,1.36
2013-03-01,1.45,1.45,1.31,1.35,12100,1.35
2013-02-01,1.46,1.54,1.31,1.46,17800,1.46
2013-01-02,1.17,1.60,1.16,1.50,40600,1.50
2012-12-03,1.13,1.25,1.04,1.14,37300,1.14
2012-11-01,1.20,1.30,1.05,1.15,12900,1.15
2012-10-01,1.23,1.32,1.15,1.24,19500,1.24
2012-09-04,1.11,1.34,1.06,1.27,22700,1.27
2012-08-01,1.25,1.32,1.02,1.05,19600,1.05
2012-07-02,1.36,1.68,1.12,1.24,33800,1.24
2012-06-01,1.51,1.73,1.18,1.37,55500,1.37
2012-05-01,2.05,2.05,1.50,1.51,18200,1.51
2012-04-02,2.29,2.62,1.81,2.08,71300,2.08
2012-03-01,2.90,2.91,2.27,2.34,60900,2.34
2012-02-01,2.15,2.88,1.79,2.87,76900,2.87
2012-01-03,1.56,2.33,1.56,2.17,105700,2.17
2011-12-01,1.93,2.03,1.43,1.62,79100,1.62
2011-11-01,1.97,2.14,1.72,1.98,73200,1.98
2011-10-03,1.92,2.23,1.70,2.05,61200,2.05
2011-09-01,2.78,2.82,1.90,1.98,29500,1.98
2011-08-01,3.23,3.32,2.35,2.78,47100,2.78
2011-07-01,3.56,3.65,3.08,3.20,67400,3.20
2011-06-01,4.75,4.76,2.75,3.59,122600,3.59
2011-05-02,5.63,5.71,4.66,4.76,71600,4.76
2011-04-01,4.55,6.39,4.22,5.60,235900,5.60
2011-03-01,5.41,5.50,4.32,4.55,99200,4.55
2011-02-01,5.67,5.94,5.07,5.46,104700,5.46
2011-01-03,6.70,7.27,5.65,5.69,67900,5.69
2010-12-01,7.71,7.77,6.53,6.53,39100,6.53
2010-11-01,8.33,8.59,7.32,7.54,37000,7.54
2010-10-01,7.15,8.40,7.06,8.28,53600,8.28
2010-09-01,7.16,7.36,7.00,7.10,20200,7.10
2010-08-02,7.99,8.28,7.05,7.16,39300,7.16
2010-07-01,7.10,8.00,6.90,7.91,36100,7.91
2010-06-01,6.94,7.98,6.67,7.10,52700,7.10
2010-05-03,7.51,7.67,6.20,7.13,45500,7.13
2010-04-01,7.95,8.19,7.20,7.50,41100,7.50
2010-03-01,7.04,8.55,7.04,7.84,93100,7.84
2010-02-01,7.45,7.60,6.71,7.04,46500,7.04
2010-01-04,7.35,9.10,7.33,7.42,120000,7.42
2009-12-01,8.27,8.47,7.19,7.30,74700,7.30
