Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,10.82,11.58,9.90,11.47,141600,11.47
2016-06-01,12.64,13.36,10.25,10.72,127500,10.72
2016-05-02,13.33,13.59,10.64,12.61,166100,12.61
2016-04-01,12.76,14.37,12.75,13.32,85300,13.32
2016-03-01,15.05,15.55,11.07,12.95,213200,12.95
2016-02-01,16.15,16.83,12.01,14.82,179700,14.82
2016-01-04,15.50,17.27,13.73,16.26,199800,16.26
2015-12-01,13.93,16.299999,12.69,15.86,129700,15.86
2015-11-02,13.49,16.48,12.20,13.91,166900,13.91
2015-10-01,15.73,18.360001,13.58,13.75,158900,13.75
2015-09-01,17.90,20.27,15.44,15.75,130700,15.75
2015-08-03,19.00,22.00,17.23,18.370001,116400,18.370001
2015-07-01,19.49,21.07,18.60,19.040001,68500,19.040001
2015-06-01,20.370001,21.280001,18.43,19.41,163000,19.41
2015-05-01,24.24,26.33,20.10,20.32,119600,20.32
2015-04-01,28.66,28.66,24.139999,24.26,72600,24.26
2015-03-02,24.48,28.60,24.40,28.42,84700,28.42
2015-02-02,23.92,27.049999,22.65,24.459999,65900,24.459999
2015-01-02,23.01,24.940001,22.030001,23.50,53200,23.50
2014-12-01,25.450001,25.450001,20.309999,23.09,39500,23.09
2014-11-03,22.549999,25.780001,20.93,25.34,56800,25.34
2014-10-01,19.799999,22.690001,17.50,22.530001,72300,22.530001
2014-09-02,17.18,19.790001,17.00,19.73,57900,19.73
2014-08-01,18.50,19.190001,16.02,17.43,62700,17.43
2014-07-01,19.67,20.59,18.01,18.43,70100,18.43
2014-06-02,19.709999,23.00,18.780001,19.41,98300,19.41
2014-05-01,23.040001,23.459999,17.799999,19.57,51100,19.57
2014-04-01,20.34,24.68,18.299999,23.450001,65700,23.450001
2014-03-03,19.02,22.00,18.280001,20.370001,44400,20.370001
2014-02-03,15.82,20.00,15.33,19.360001,35400,19.360001
2014-01-02,18.610001,18.91,14.10,15.71,34500,15.71
2013-12-02,15.81,18.690001,14.88,18.52,38300,18.52
2013-11-01,13.61,17.690001,13.28,15.83,64500,15.83
2013-10-01,11.75,13.74,11.48,13.73,36000,13.73
2013-09-03,12.05,12.46,10.87,11.62,23700,11.62
2013-08-01,12.84,13.90,11.81,11.98,31700,11.98
2013-07-01,11.67,12.96,10.99,12.83,29000,12.83
2013-06-03,10.18,11.76,10.00,11.72,27600,11.72
2013-05-01,9.81,10.73,9.50,10.25,28600,10.25
2013-04-01,9.14,10.03,8.65,9.75,22100,9.75
2013-03-01,8.55,9.37,8.46,9.13,24900,9.13
2013-02-01,8.54,9.73,8.25,8.50,42700,8.50
2013-01-02,8.72,9.00,8.15,8.45,18200,8.45
2012-12-03,8.37,8.99,8.02,8.70,23400,8.70
2012-11-01,8.99,9.22,8.02,8.41,36400,8.41
2012-10-01,8.94,9.49,8.56,8.99,35200,8.99
2012-09-04,8.55,9.12,7.80,8.95,41400,8.95
2012-08-01,8.32,8.90,7.36,8.53,46100,8.53
2012-07-02,9.06,9.12,7.22,8.25,70400,8.25
2012-06-01,7.75,9.25,7.34,9.02,73200,9.02
2012-05-01,7.69,8.20,7.07,7.76,115800,7.76
2012-04-02,5.44,6.84,5.40,6.73,77800,6.73
2012-03-01,5.40,5.59,5.23,5.44,41100,5.44
2012-02-01,6.10,6.70,5.12,5.38,133700,5.38
2012-01-03,6.15,7.30,5.92,6.06,59100,6.06
2011-12-01,5.24,6.18,5.06,6.12,63700,6.12
2011-11-01,5.63,6.25,5.01,5.22,66000,5.22
2011-10-03,5.49,6.82,5.15,5.76,99900,5.76
2011-09-01,5.87,7.10,4.75,5.55,125300,5.55
2011-08-01,7.74,7.90,5.40,5.77,73000,5.77
2011-07-01,5.60,7.75,5.17,7.36,82200,7.36
2011-06-01,4.88,5.62,3.97,5.59,42000,5.59
2011-05-02,5.75,5.75,4.57,4.88,8300,4.88
2011-04-01,5.20,5.75,4.71,5.70,13700,5.70
2011-03-01,5.20,5.25,4.04,5.25,10300,5.25
2011-02-01,4.98,5.80,4.65,5.23,24600,5.23
2011-01-03,4.15,5.20,4.01,5.02,22700,5.02
2010-12-01,4.31,4.80,3.76,4.10,22200,4.10
2010-11-01,3.30,4.48,3.30,4.19,15400,4.19
2010-10-01,3.94,3.99,3.25,3.34,18400,3.34
2010-09-01,3.20,3.58,3.00,3.46,6900,3.46
2010-08-02,3.71,3.95,3.14,3.40,7600,3.40
2010-07-01,3.77,4.16,3.24,3.71,38100,3.71
2010-06-01,3.90,4.39,3.41,3.67,7800,3.67
2010-05-03,4.16,5.15,3.73,3.92,13000,3.92
2010-04-01,3.89,5.62,3.89,4.22,33400,4.22
2010-03-01,3.25,3.88,3.21,3.86,18400,3.86
2010-02-01,3.52,3.64,2.95,3.25,6200,3.25
2010-01-04,3.15,3.68,2.85,3.68,7300,3.68
2009-12-01,3.20,3.59,2.76,2.93,8900,2.93
2009-11-02,2.82,3.30,2.67,3.15,21300,3.15
2009-10-01,3.32,3.45,2.32,2.95,10400,2.95
2009-09-01,3.50,3.94,3.16,3.32,19100,3.32
2009-08-03,3.61,3.90,3.41,3.45,9100,3.45
2009-07-01,3.40,4.15,3.20,3.61,12900,3.61
2009-06-01,4.05,4.11,3.03,3.36,32300,3.36
2009-05-01,2.21,4.34,2.00,4.06,53600,4.06
2009-04-01,1.65,3.01,1.17,2.10,46400,2.10
2009-03-02,2.19,2.19,1.60,1.65,3900,1.65
2009-02-02,1.65,2.51,1.65,2.28,10700,2.28
2009-01-02,2.21,3.25,1.42,1.70,32500,1.70
2008-12-01,1.64,2.69,1.10,2.20,61000,2.20
2008-11-03,2.60,2.92,1.24,1.60,27500,1.60
2008-10-01,5.91,5.97,2.01,2.59,21100,2.59
2008-09-02,6.99,7.07,5.51,5.92,14800,5.92
2008-08-01,5.79,7.49,5.45,6.95,27900,6.95
2008-07-01,8.37,8.37,5.76,5.80,20300,5.80
2008-06-02,8.52,8.77,6.15,8.43,37700,8.43
2008-05-01,8.85,9.16,8.00,8.60,24100,8.60
2008-04-01,8.82,9.70,7.71,9.38,36500,9.38
2008-03-03,9.73,9.95,8.38,8.88,22100,8.88
2008-02-01,11.64,12.65,9.68,9.73,48800,9.73
2008-01-02,14.50,14.77,10.00,11.77,41000,11.77
2007-12-03,15.85,16.360001,12.65,14.60,41000,14.60
2007-11-01,18.219999,19.049999,14.39,15.75,47900,15.75
2007-10-01,17.629999,18.83,16.40,18.18,25500,18.18
2007-09-04,17.34,18.77,15.75,17.75,23400,17.75
2007-08-01,19.700001,19.940001,15.50,17.16,33800,17.16
2007-07-02,18.450001,20.00,16.540001,19.93,34900,19.93
2007-06-01,18.25,19.75,17.969999,18.23,26300,18.23
2007-05-01,17.50,20.299999,17.09,18.299999,31600,18.299999
2007-04-02,15.40,18.629999,14.85,18.00,30700,18.00
2007-03-01,16.00,16.74,15.05,15.40,26100,15.40
2007-02-01,19.92,20.10,15.42,16.129999,41700,16.129999
2007-01-03,20.74,21.379999,17.90,20.07,25400,20.07
2006-12-01,18.67,20.57,17.75,20.549999,19400,20.549999
2006-11-01,17.68,19.950001,16.60,18.98,29100,18.98
2006-10-02,14.93,17.959999,14.53,17.40,15700,17.40
2006-09-01,15.25,15.25,13.71,14.99,10900,14.99
2006-08-01,12.35,15.44,12.12,15.13,21900,15.13
2006-07-03,12.50,12.97,11.85,12.34,8700,12.34
2006-06-01,12.50,13.00,10.20,13.00,11300,13.00
2006-05-01,11.40,13.10,11.00,12.50,14400,12.50
