Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.78,7.91,7.35,7.60,76700,7.60
2016-06-01,8.39,8.73,7.51,7.70,45400,7.70
2016-05-02,9.76,10.20,7.53,8.47,36900,8.47
2016-04-01,9.49,10.12,8.94,9.76,27200,9.76
2016-03-01,9.10,9.88,8.28,9.55,37700,9.55
2016-02-01,9.59,9.62,8.07,9.13,32300,9.13
2016-01-04,9.23,9.75,8.00,9.65,63000,9.65
2015-12-01,9.89,10.22,8.96,9.42,37600,9.42
2015-11-02,9.79,10.16,8.83,9.86,53500,9.86
2015-10-01,10.00,10.64,9.53,9.80,27000,9.80
2015-09-01,10.95,11.14,9.22,10.00,33000,10.00
2015-08-03,12.36,12.44,9.74,11.08,42300,11.08
2015-07-01,13.58,13.99,12.25,12.28,28300,12.28
2015-06-01,12.62,13.96,12.22,13.45,34700,13.45
2015-05-01,13.49,14.21,11.14,12.47,57900,12.47
2015-04-01,15.01,15.79,13.42,13.49,33400,13.49
2015-03-02,12.89,15.18,12.60,15.12,62700,15.12
2015-02-02,12.40,13.43,12.13,12.83,22700,12.83
2015-01-02,12.79,12.98,11.62,12.10,44600,12.10
2014-12-01,12.34,12.98,11.76,12.65,26200,12.65
2014-11-03,12.90,13.44,11.84,12.22,28400,12.22
2014-10-01,11.34,13.10,10.87,12.92,32800,12.92
2014-09-02,12.48,12.57,11.28,11.32,57600,11.32
2014-08-01,13.03,13.28,12.17,12.43,26200,12.43
2014-07-01,13.14,14.25,12.97,13.01,38800,13.01
2014-06-02,13.60,13.60,12.70,13.03,30100,13.03
2014-05-01,13.42,13.69,12.88,13.58,42100,13.58
2014-04-01,13.15,13.79,12.71,13.51,45200,13.51
2014-03-03,12.85,13.90,12.57,13.16,58400,13.16
2014-02-03,13.20,14.42,12.35,12.93,65800,12.93
2014-01-02,12.97,14.40,12.50,13.18,38100,13.18
2013-12-02,14.09,14.09,12.78,13.03,30500,13.03
2013-11-01,13.70,14.27,12.71,14.14,23800,14.14
2013-10-01,13.76,14.24,13.00,13.74,35300,13.74
2013-09-03,12.97,14.29,12.78,13.80,33600,13.80
2013-08-01,14.20,14.25,12.66,12.76,30200,12.76
2013-07-01,13.37,14.62,13.10,13.99,61400,13.99
2013-06-03,13.25,13.33,12.35,13.31,44200,13.31
2013-05-01,13.18,13.89,12.50,13.19,34100,13.19
2013-04-01,13.50,13.54,12.11,13.21,31900,13.21
2013-03-01,13.12,13.91,13.12,13.57,34400,13.57
2013-02-01,14.70,15.00,11.98,13.32,74900,13.32
2013-01-02,14.49,14.80,13.01,14.56,31000,14.56
2012-12-03,12.70,14.08,11.32,13.98,24800,13.98
2012-11-01,13.88,14.24,10.38,12.66,26200,12.66
2012-10-01,13.48,14.66,12.61,13.82,33400,13.82
2012-09-04,13.62,14.12,12.37,13.49,46800,13.49
2012-08-01,13.16,14.50,12.30,13.56,59000,13.56
2012-07-02,12.59,13.65,11.70,13.05,69500,13.05
2012-06-01,9.36,12.95,8.97,12.50,101300,12.50
2012-05-01,9.96,10.47,8.51,9.62,48100,9.62
2012-04-02,10.44,11.14,8.80,9.98,74000,9.98
2012-03-01,9.16,10.98,8.96,10.50,72600,10.50
2012-02-01,9.42,10.22,8.55,9.14,74600,9.14
2012-01-03,7.95,10.26,7.61,9.33,66600,9.33
2011-12-01,7.73,8.14,7.35,7.78,54900,7.78
2011-11-01,7.25,8.30,7.05,7.78,67700,7.78
2011-10-03,7.84,8.62,6.90,7.37,137400,7.37
2011-09-01,8.91,9.00,7.26,7.91,103500,7.91
2011-08-01,9.64,10.74,7.63,8.90,84000,8.90
2011-07-01,10.69,12.24,9.25,9.57,51900,9.57
2011-06-01,11.83,12.11,10.27,10.63,106800,10.63
2011-05-02,13.10,13.10,11.08,11.84,73900,11.84
2011-04-01,15.05,16.68,12.34,13.10,120900,13.10
2011-03-01,14.70,15.15,12.21,15.12,72100,15.12
2011-02-01,12.18,15.53,11.40,14.68,138600,14.68
2011-01-03,12.03,12.79,11.60,12.15,76500,12.15
2010-12-01,13.50,13.94,11.44,11.95,98900,11.95
2010-11-01,14.14,14.41,12.70,13.25,57700,13.25
2010-10-01,15.08,16.24,13.75,14.04,88200,14.04
2010-09-01,12.75,15.13,12.23,15.01,65800,15.01
2010-08-02,14.12,14.31,11.55,12.47,53100,12.47
2010-07-01,12.41,14.23,11.28,13.98,69500,13.98
2010-06-01,12.94,13.94,10.76,12.42,80500,12.42
2010-05-03,15.19,15.34,11.87,13.04,75200,13.04
2010-04-01,13.17,16.66,12.88,15.07,74000,15.07
