Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,8.34,10.50,7.41,10.25,39500,10.25
2016-06-01,8.31,10.75,7.62,8.42,40100,8.42
2016-05-02,9.69,10.28,6.53,8.43,26000,8.43
2016-04-01,8.71,10.33,8.03,9.62,25200,9.62
2016-03-01,6.98,9.43,6.44,8.75,39500,8.75
2016-02-01,7.60,8.27,4.25,6.86,56700,6.86
2016-01-04,8.76,8.90,7.07,7.66,46200,7.66
2015-12-01,9.71,10.27,7.93,8.98,37200,8.98
2015-11-02,10.57,10.83,8.22,9.63,44200,9.63
2015-10-01,8.24,10.99,7.85,10.55,30700,10.55
2015-09-01,11.18,11.47,8.12,8.20,57000,8.20
2015-08-03,11.54,12.55,10.00,11.39,32300,11.39
2015-07-01,11.15,11.89,10.73,11.57,32300,11.57
2015-06-01,10.68,11.75,9.94,11.00,87400,11.00
2015-05-01,11.51,12.02,9.38,10.57,46200,10.57
2015-04-01,11.63,12.86,11.23,11.50,49300,11.50
2015-03-02,10.02,11.82,9.43,11.73,36100,11.73
2015-02-02,10.56,11.68,9.58,9.98,27800,9.98
2015-01-02,12.88,12.88,10.00,10.57,28200,10.57
2014-12-01,11.25,12.94,10.60,12.80,51600,12.80
2014-11-03,13.75,13.75,9.73,11.24,33200,11.24
2014-10-01,11.30,13.98,10.97,13.68,45000,13.68
2014-09-02,11.60,12.15,11.11,11.24,38100,11.24
2014-08-01,11.38,13.20,10.25,11.53,41200,11.53
2014-07-01,14.13,14.35,11.27,11.33,53700,11.33
2014-06-02,13.46,14.35,12.86,14.06,130600,14.06
2014-05-01,11.36,13.79,10.20,13.46,89500,13.46
2014-04-01,13.83,14.24,11.16,11.42,59900,11.42
2014-03-03,15.24,15.83,13.71,13.86,63900,13.86
2014-02-03,15.61,15.82,14.10,15.38,43400,15.38
2014-01-02,17.639999,17.950001,15.06,15.73,33400,15.73
2013-12-02,17.440001,18.25,15.00,17.77,39300,17.77
2013-11-01,17.33,18.219999,14.18,17.50,36200,17.50
2013-10-01,18.219999,19.02,16.620001,17.41,30700,17.41
2013-09-03,13.31,19.83,13.31,18.27,45800,18.27
2013-08-01,15.46,15.74,12.82,13.17,20800,13.17
2013-07-01,13.43,16.139999,13.10,15.40,26300,15.40
2013-06-03,12.87,13.60,12.50,13.32,48600,13.32
2013-05-01,11.95,13.02,11.37,12.80,38300,12.80
2013-04-01,13.17,13.49,11.67,11.95,43100,11.95
2013-03-01,13.34,14.15,12.95,13.23,34500,13.23
2013-02-01,14.37,14.63,13.33,13.53,21400,13.53
2013-01-02,14.40,14.81,13.83,14.26,34300,14.26
2012-12-03,12.67,14.22,12.05,14.01,44900,14.01
2012-11-01,12.55,12.84,10.94,12.61,38200,12.61
2012-10-01,12.05,12.60,11.46,12.50,30800,12.50
2012-09-04,11.86,12.67,10.83,11.99,85900,11.99
2012-08-01,12.02,12.70,11.25,11.83,38000,11.83
2012-07-02,12.93,13.63,11.72,11.92,43000,11.92
2012-06-01,10.88,12.99,10.48,12.96,80700,12.96
2012-05-01,11.83,12.01,10.05,11.18,61100,11.18
2012-04-02,11.05,12.05,10.34,11.87,66500,11.87
2012-03-01,9.90,11.22,9.05,11.12,66400,11.12
2012-02-01,9.77,10.62,9.58,9.86,53500,9.86
2012-01-03,10.45,10.45,9.29,9.72,51200,9.72
2011-12-01,9.80,10.35,8.76,10.17,87300,10.17
2011-11-01,10.19,10.70,8.73,9.89,89600,9.89
2011-10-03,9.28,11.03,8.31,10.72,97900,10.72
2011-09-01,10.23,10.40,8.74,9.34,102400,9.34
2011-08-01,10.82,11.14,7.17,10.27,129700,10.27
2011-07-01,10.66,11.37,10.03,10.64,66400,10.64
2011-06-01,9.71,10.79,8.70,10.68,102700,10.68
2011-05-02,11.98,11.99,8.55,9.77,106500,9.77
2011-04-01,11.00,12.43,10.70,11.95,69400,11.95
2011-03-01,10.60,11.04,9.39,10.92,74600,10.92
2011-02-01,9.75,11.19,9.75,10.59,68700,10.59
2011-01-03,10.72,11.44,9.26,9.69,113900,9.69
2010-12-01,8.62,10.85,8.50,10.57,88600,10.57
2010-11-01,7.55,8.91,7.31,8.44,85500,8.44
2010-10-01,7.50,7.78,7.17,7.61,71800,7.61
2010-09-01,6.83,7.55,6.52,7.41,88800,7.41
2010-08-02,7.35,7.80,6.39,6.69,82100,6.69
2010-07-01,6.38,7.55,5.94,7.26,90200,7.26
2010-06-01,6.89,7.21,6.09,6.36,201900,6.36
2010-05-03,7.69,8.35,6.69,6.93,180600,6.93
2010-04-01,6.42,7.79,6.21,7.66,173400,7.66
2010-03-01,6.30,6.73,6.13,6.38,97300,6.38
2010-02-01,4.39,6.44,4.30,6.26,165500,6.26
2010-01-04,4.00,4.45,3.87,4.35,107100,4.35
2009-12-01,3.37,4.02,2.75,3.92,133400,3.92
2009-11-02,2.62,3.39,2.48,3.30,101600,3.30
2009-10-01,3.25,3.36,2.32,2.51,102100,2.51
2009-09-01,2.72,3.56,2.58,3.29,132400,3.29
2009-08-03,2.73,2.98,2.03,2.76,308200,2.76
2009-07-01,1.98,2.84,1.45,2.69,145500,2.69
2009-06-01,2.99,3.14,1.72,1.91,189700,1.91
2009-05-01,2.25,3.01,2.09,3.01,53000,3.01
2009-04-01,2.23,2.85,1.97,2.27,63900,2.27
2009-03-02,1.35,3.44,0.61,2.32,82600,2.32
2009-02-02,2.88,3.35,1.37,1.37,72200,1.37
2009-01-02,4.01,4.23,2.65,2.96,75400,2.96
2008-12-01,4.56,4.70,2.61,3.99,88700,3.99
2008-11-03,5.34,5.44,2.46,4.76,67900,4.76
2008-10-01,8.00,8.98,4.40,5.41,116900,5.41
2008-09-02,8.92,9.78,6.93,8.09,128200,8.09
2008-08-01,5.44,8.95,5.37,8.80,85300,8.80
2008-07-01,5.78,6.12,5.10,5.49,93100,5.49
2008-06-02,5.38,6.64,5.03,5.91,137300,5.91
2008-05-01,5.35,7.04,5.20,5.38,168300,5.38
2008-04-01,5.32,6.10,4.55,5.38,67400,5.38
2008-03-03,5.92,5.93,4.50,5.18,158300,5.18
2008-02-01,8.56,8.79,5.80,5.92,127600,5.92
2008-01-02,8.25,9.58,6.11,8.70,134900,8.70
2007-12-03,9.22,9.65,7.75,8.28,166600,8.28
2007-11-01,9.90,10.55,8.41,9.18,153100,9.18
2007-10-01,11.24,13.65,9.87,10.04,95100,10.04
2007-09-04,11.52,12.40,10.76,11.24,85800,11.24
