Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,9.86,10.08,8.26,9.06,834200,9.06
2016-06-01,9.62,10.95,9.39,9.84,198200,9.84
2016-05-02,11.20,11.33,9.37,9.66,175300,9.66
2016-04-01,11.04,13.22,10.83,11.20,296100,11.20
2016-03-01,9.64,11.50,8.88,11.09,250800,11.09
2016-02-01,10.95,11.87,8.53,9.61,431600,9.61
2016-01-04,12.52,14.36,10.03,11.01,487800,11.01
2015-12-01,12.25,13.95,10.96,12.74,278400,12.74
2015-11-02,12.95,13.88,11.19,12.18,303600,12.18
2015-10-01,10.47,13.31,9.87,13.05,431700,13.05
2015-09-01,11.39,13.50,9.72,10.43,281800,10.43
2015-08-03,11.44,12.71,9.97,11.55,296400,11.55
2015-07-01,12.19,13.45,10.89,11.47,263500,11.47
2015-06-01,10.04,12.41,9.40,12.11,421600,12.11
2015-05-01,10.85,11.10,9.79,10.01,543000,10.01
2015-04-01,16.209999,17.290001,10.10,10.81,748000,10.81
2015-03-02,16.530001,17.049999,13.87,16.24,229000,16.24
2015-02-02,14.18,16.879999,13.77,16.549999,257200,16.549999
2015-01-02,16.809999,16.889999,13.00,14.23,329200,14.23
2014-12-01,14.26,18.24,13.15,16.620001,434200,16.620001
2014-11-03,15.90,16.24,13.97,14.35,356300,14.35
2014-10-01,12.58,16.610001,10.35,15.62,523700,15.62
2014-09-02,13.03,13.85,12.25,12.69,240400,12.69
2014-08-01,15.35,15.58,11.85,13.06,685900,13.06
2014-07-01,16.58,17.639999,15.25,15.34,269000,15.34
2014-06-02,14.54,16.620001,13.50,16.48,282600,16.48
2014-05-01,15.58,16.75,13.61,14.57,544600,14.57
2014-04-01,22.23,24.09,15.27,15.65,642000,15.65
2014-03-03,20.280001,23.27,19.68,22.280001,329100,22.280001
2014-02-03,20.25,21.43,17.52,20.40,481600,20.40
2014-01-02,16.27,21.309999,16.01,20.49,573000,20.49
2013-12-02,16.58,17.23,15.50,16.49,159500,16.49
2013-11-01,16.51,17.60,15.67,16.65,190300,16.65
2013-10-01,16.690001,18.77,15.31,16.530001,351600,16.530001
2013-09-03,15.00,17.209999,14.30,16.58,252600,16.58
2013-08-01,13.59,15.00,11.72,14.89,238600,14.89
2013-07-01,13.55,14.41,12.22,13.70,199800,13.70
2013-06-03,13.49,15.07,12.19,13.46,184800,13.46
2013-05-01,13.44,14.69,12.45,13.56,349700,13.56
2013-04-01,9.95,14.20,9.87,13.47,543400,13.47
2013-03-01,9.66,11.58,9.66,9.91,499900,9.91
2013-02-01,9.47,10.05,8.53,9.91,440700,9.91
2013-01-02,9.00,10.13,8.94,9.39,159300,9.39
2012-12-03,8.95,9.49,8.29,8.88,131500,8.88
2012-11-01,11.76,11.92,8.76,8.84,249100,8.84
2012-10-01,10.43,12.20,10.25,11.50,186500,11.50
2012-09-04,7.88,10.53,7.71,10.34,130400,10.34
2012-08-01,8.03,8.30,7.48,7.95,83000,7.95
2012-07-02,6.91,8.37,6.75,7.95,113600,7.95
2012-06-01,6.00,6.85,5.27,6.80,64700,6.80
2012-05-01,6.46,6.95,5.96,6.00,43400,6.00
2012-04-02,6.60,7.44,5.75,6.73,121900,6.73
2012-03-01,5.60,7.98,5.51,6.55,53500,6.55
2012-02-01,4.90,5.78,4.83,5.53,10000,5.53
2012-01-03,5.02,5.02,4.78,4.85,7100,4.85
2011-12-01,4.95,4.96,4.61,4.93,5400,4.93
2011-11-01,4.99,5.28,4.65,4.87,6700,4.87
2011-10-03,4.33,5.60,3.99,5.16,5700,5.16
2011-09-01,3.97,4.37,3.53,4.33,13500,4.33
