Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.80,3.88,3.39,3.47,959100,3.47
2016-06-01,4.00,4.21,3.67,3.80,670500,3.80
2016-05-02,4.07,4.09,3.55,4.03,1596600,4.03
2016-04-01,4.27,4.33,2.89,4.00,2760600,4.00
2016-03-01,4.50,4.74,3.88,4.35,809300,4.35
2016-02-01,5.14,5.44,3.44,4.40,1500400,4.40
2016-01-04,6.18,6.56,4.76,5.16,934600,5.16
2015-12-01,6.15,7.28,6.08,6.23,1675400,6.23
2015-11-02,6.96,7.95,5.06,6.18,1817000,6.18
2015-10-01,8.69,8.72,6.74,7.00,1310100,6.957317
2015-09-01,9.91,10.13,8.52,8.73,482200,8.676768
2015-08-03,11.61,12.18,9.21,10.09,675200,10.028476
2015-07-01,12.32,12.66,11.24,11.59,421200,11.372185
2015-06-01,12.60,13.15,12.14,12.22,600900,11.990345
2015-05-01,12.94,13.49,12.14,12.54,627800,12.304331
2015-04-01,12.64,13.06,12.39,12.91,630300,12.449316
2015-03-02,12.30,12.77,11.70,12.64,520000,12.188951
2015-02-02,11.15,13.15,10.99,12.32,683600,11.880369
2015-01-02,11.75,12.25,10.63,11.09,666200,10.295348
2014-12-01,11.79,12.20,10.89,11.68,802300,10.843072
2014-11-03,11.07,12.39,10.77,11.85,814300,11.000891
2014-10-01,10.55,11.49,10.01,11.02,1126400,10.052445
2014-09-02,12.37,12.79,10.54,10.71,1347200,9.769663
2014-08-01,13.59,13.99,11.16,12.38,1247600,11.293037
2014-07-01,13.91,14.45,12.78,13.61,771100,12.252817
2014-06-02,13.25,14.16,12.94,13.83,845400,12.450879
2014-05-01,12.00,13.44,11.51,13.29,1386900,11.964727
2014-04-01,13.91,14.00,11.41,11.99,1483200,10.58884
2014-03-03,13.46,14.94,13.11,13.77,1415100,12.16083
2014-02-03,13.94,15.71,12.75,13.47,2376400,11.895887
2014-01-02,14.85,16.00,13.70,13.98,1044100,11.440139
2013-12-02,13.96,15.06,13.80,14.80,717600,12.111163
2013-11-01,12.55,14.00,12.50,13.89,1016300,11.36649
2013-10-01,10.99,12.99,10.94,12.49,720600,10.025637
2013-09-03,10.79,11.55,10.16,10.99,797900,8.821597
2013-08-01,11.52,11.79,10.40,10.61,680000,8.516573
2013-07-01,10.50,11.57,10.46,11.30,666200,8.956338
2013-06-03,11.25,11.27,9.74,10.44,912700,8.274705
2013-05-01,10.27,11.98,10.10,11.19,1813800,8.869152
2013-04-01,9.41,10.34,9.20,10.26,782300,7.933695
2013-03-01,9.13,9.93,8.91,9.35,1381300,7.230025
2013-02-01,9.91,10.87,8.73,9.13,2279200,7.059906
2013-01-02,9.62,9.99,9.01,9.90,1038600,7.101656
2012-12-03,9.57,9.80,9.20,9.50,572600,6.814721
2012-11-01,10.02,10.27,8.55,9.52,548100,6.829068
2012-10-01,9.70,10.34,9.48,10.01,781300,7.093174
2012-09-04,7.90,9.89,7.78,9.66,1590100,6.84516
2012-08-01,7.27,8.68,7.02,7.89,988200,5.590923
2012-07-02,7.56,7.61,6.84,7.25,568000,5.053292
2012-06-01,6.68,7.90,6.56,7.58,966800,5.283304
2012-05-01,8.75,8.96,6.86,7.25,997900,5.053292
2012-04-02,9.27,9.76,7.96,8.78,1111100,6.045712
2012-03-01,9.48,9.91,8.91,9.28,873200,6.390001
2012-02-01,10.13,10.86,9.30,9.43,1207100,6.493288
2012-01-03,8.71,10.13,8.20,9.93,1544700,6.808696
2011-12-01,7.78,8.75,7.57,8.41,1476000,5.766478
2011-11-01,10.30,10.57,7.32,7.86,3230000,5.38936
2011-10-03,9.05,11.44,8.00,10.91,517800,7.401444
2011-09-01,11.34,11.41,8.80,9.13,573900,6.193876
2011-08-01,12.53,12.78,10.17,11.35,944100,7.699945
2011-07-01,13.92,14.30,12.09,12.36,558800,8.275117
2011-06-01,14.75,14.80,12.84,13.87,549800,9.286074
2011-05-02,16.120001,16.129999,14.30,14.81,544400,9.915412
2011-04-01,16.43,16.530001,15.72,16.07,397100,10.664102
2011-03-01,16.10,16.84,15.23,16.32,299100,10.830003
2011-02-01,16.09,17.559999,15.71,16.110001,469300,10.690647
2011-01-03,15.61,16.33,15.08,16.059999,457200,10.222342
2010-12-01,13.97,16.209999,13.51,15.58,375800,9.916818
2010-11-01,14.85,16.17,13.67,13.79,329600,8.777466
2010-10-01,14.94,15.22,13.88,14.77,208100,9.341782
2010-09-01,12.60,15.24,12.57,14.90,202300,9.424004
2010-08-02,14.02,15.75,11.83,12.46,348200,7.880744
2010-07-01,12.54,14.10,11.74,13.74,283900,8.627184
2010-06-01,14.40,15.60,12.55,12.59,391700,7.905113
2010-05-03,17.52,18.24,13.71,14.36,735400,9.016475
2010-04-01,16.42,18.50,16.10,17.52,482400,10.944476
2010-03-01,13.70,16.040001,13.53,16.00,425200,9.994955
2010-02-01,13.52,14.69,12.33,13.66,593800,8.533193
2010-01-04,13.78,15.09,13.37,13.53,190400,8.083677
