Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.58,7.68,7.06,7.26,56300,7.26
2016-06-01,8.70,8.92,7.31,7.61,45600,7.61
2016-05-02,9.05,9.52,8.57,8.75,48000,8.75
2016-04-01,7.50,9.60,7.16,9.06,46100,9.06
2016-03-01,6.26,7.69,6.23,7.55,59800,7.525723
2016-02-01,7.63,7.65,5.91,6.24,65500,6.219935
2016-01-04,8.47,8.50,6.76,7.70,34900,7.30646
2015-12-01,9.72,9.78,8.16,8.60,34800,8.160462
2015-11-02,9.50,9.81,9.08,9.70,35600,9.204243
2015-10-01,8.90,9.64,8.70,9.53,68600,9.014876
2015-09-01,9.96,10.21,7.66,8.90,81800,8.418929
2015-08-03,10.46,10.91,9.33,10.11,65300,9.563525
2015-07-01,11.25,12.25,10.15,10.40,94200,9.809796
2015-06-01,8.91,11.22,8.80,11.05,75200,10.422909
2015-05-01,9.20,9.78,8.37,8.86,45300,8.357191
2015-04-01,9.12,9.38,8.76,9.20,17900,8.650023
2015-03-02,8.34,9.37,8.30,9.17,25000,8.621817
2015-02-02,8.09,9.11,8.05,8.29,29100,7.794423
2015-01-02,9.49,9.60,7.78,8.13,23000,7.360877
2014-12-01,8.76,10.00,8.32,9.46,59200,8.565055
2014-11-03,10.14,10.45,8.45,8.67,64600,7.849792
2014-10-01,9.51,10.58,9.00,10.05,35900,9.071805
2014-09-02,10.19,10.58,9.04,9.55,31700,8.620471
2014-08-01,10.43,10.59,9.70,10.11,25800,9.125964
2014-07-01,11.29,11.30,10.27,10.41,30500,9.369684
2014-06-02,10.22,11.35,10.07,11.16,51600,10.044734
2014-05-01,10.83,10.98,9.02,10.27,73200,9.243676
2014-04-01,11.78,12.68,10.03,10.87,94700,9.755024
2014-03-03,11.50,12.73,11.32,11.77,66900,10.562708
2014-02-03,10.47,11.70,10.02,11.56,88000,10.374249
2014-01-02,11.76,11.95,9.89,10.56,108300,9.25139
2013-12-02,9.82,11.87,9.25,11.76,86900,10.302684
2013-11-01,7.18,9.97,7.10,9.41,55900,8.243899
2013-10-01,6.77,7.45,6.44,7.19,37200,6.275324
2013-09-03,6.61,7.18,6.34,6.78,33200,5.917483
2013-08-01,7.21,7.30,6.43,6.51,20100,5.681831
2013-07-01,6.58,7.49,6.53,7.12,30200,6.18786
2013-06-03,6.78,6.97,5.93,6.52,81600,5.666412
2013-05-01,6.33,6.99,5.73,6.78,28400,5.892373
