Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.55,7.57,6.66,6.87,35585100,6.87
2016-06-01,7.70,7.88,7.45,7.49,17967500,7.49
2016-05-02,8.04,8.11,7.41,7.70,14900200,7.70
2016-04-01,8.13,8.20,7.96,8.05,9652100,8.05
2016-03-01,7.97,8.19,7.92,8.15,11752100,8.15
2016-02-01,7.79,7.98,7.70,7.95,12917700,7.95
2016-01-04,7.80,7.95,7.55,7.79,15245900,7.79
2015-12-01,7.89,7.96,7.75,7.84,12666000,7.84
2015-11-02,7.91,7.99,7.56,7.88,17241100,7.88
2015-10-01,6.00,8.74,5.92,7.88,41766300,7.88
2015-09-01,8.04,8.67,5.88,6.07,30876700,6.07
2015-08-03,8.90,9.47,6.97,8.25,20597200,8.25
2015-07-01,8.44,9.00,8.20,8.91,17538000,8.91
2015-06-01,8.73,9.06,8.17,8.35,22420500,8.35
2015-05-01,7.77,8.82,7.73,8.72,19903100,8.72
2015-04-01,8.69,9.07,7.65,7.71,30714800,7.71
2015-03-02,8.03,8.86,7.22,8.69,28834000,8.69
2015-02-02,7.00,8.48,6.68,7.98,23097900,7.98
2015-01-02,7.65,7.90,6.98,6.98,22442500,6.98
2014-12-01,5.50,7.61,5.31,7.52,26178500,7.52
2014-11-03,5.28,5.68,5.18,5.48,13263800,5.48
2014-10-01,4.83,5.49,4.42,5.25,28138600,5.25
2014-09-02,6.21,6.69,4.81,4.84,41269900,4.84
2014-08-01,6.71,6.79,5.87,6.22,19514900,6.22
2014-07-01,7.18,7.75,6.33,6.69,29980900,6.69
2014-06-02,8.41,8.62,6.95,7.17,38622600,7.17
2014-05-01,7.42,8.45,7.41,8.36,23744800,8.36
2014-04-01,6.29,7.39,5.83,7.30,33933800,7.30
2014-03-03,6.48,7.05,6.17,6.27,19319200,6.27
2014-02-03,5.52,6.87,5.23,6.59,24379700,6.59
2014-01-02,5.05,5.96,5.01,5.55,25983100,5.55
