Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.49,7.669,6.11,6.99,61900,6.99
2016-06-01,7.67,8.06,6.00,6.48,94300,6.48
2016-05-02,9.16,10.229,7.751,7.84,76100,7.84
2016-04-01,9.38,10.787,9.00,9.06,58100,9.06
2016-03-01,10.07,10.26,7.41,9.40,113400,9.40
2016-02-01,10.08,12.20,7.91,10.48,148800,10.48
2016-01-04,13.75,15.81,9.36,10.30,335400,10.30
2015-12-01,7.70,17.40,5.55,14.47,1267300,14.47
2015-11-02,8.06,8.47,7.60,7.79,33600,7.79
2015-10-01,7.76,10.12,7.33,8.085,34700,8.085
2015-09-01,8.33,9.59,7.20,7.68,43900,7.68
2015-08-03,10.47,11.90,8.245,8.44,87000,8.44
2015-07-01,11.22,11.31,8.76,10.52,70700,10.52
2015-06-01,12.70,13.10,11.00,11.15,125700,11.15
2015-05-01,11.07,14.25,10.35,12.60,207600,12.60
2015-04-01,12.46,14.65,10.58,10.97,161100,10.97
2015-03-02,17.26,18.799999,12.03,12.36,166200,12.36
2015-02-02,17.60,18.75,14.11,17.17,93400,17.17
2015-01-02,19.00,22.74,17.01,17.440001,97600,17.440001
2014-12-01,26.17,26.17,18.01,18.879999,175400,18.879999
2014-11-03,31.299999,33.25,26.200001,26.379999,373900,26.379999
2014-10-01,34.290001,34.290001,23.502001,30.65,400200,30.65
2014-09-12,12.00,43.706001,11.50,34.150002,3874500,34.150002
