Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.80,3.80,3.20,3.29,63400,3.29
2016-06-01,3.83,4.10,3.55,3.80,42000,3.80
2016-05-02,4.16,4.18,2.96,3.81,41800,3.81
2016-04-01,3.98,4.67,3.40,4.09,60600,4.09
2016-03-01,4.62,5.17,3.63,3.98,63800,3.98
2016-02-01,5.11,5.24,4.21,4.64,59200,4.64
2016-01-04,5.04,5.35,4.61,5.21,86500,5.21
2015-12-01,4.75,5.47,3.06,5.22,291300,5.22
2015-11-02,7.93,8.98,4.54,4.60,437700,4.60
2015-10-01,7.99,8.65,7.34,7.91,63200,7.91
2015-09-01,9.72,10.22,7.57,8.00,155600,8.00
2015-08-03,11.41,11.74,8.10,9.99,113900,9.99
2015-07-01,12.65,13.06,10.81,11.46,137100,11.46
2015-06-01,11.34,14.44,11.32,12.68,306200,12.68
2015-05-01,12.18,13.28,10.67,10.81,150100,10.81
2015-04-01,8.47,12.24,8.25,12.16,219400,12.16
2015-03-02,7.95,9.67,7.20,8.39,138900,8.39
2015-02-02,8.37,8.95,7.79,7.94,78300,7.94
2015-01-02,10.21,10.66,7.01,8.37,231000,8.37
2014-12-01,11.83,12.70,9.42,10.21,135500,10.21
2014-11-03,13.50,13.60,10.60,11.90,156500,11.90
2014-10-01,12.43,14.15,9.13,12.55,206100,12.55
2014-09-02,11.85,13.49,11.11,12.35,162600,12.35
2014-08-01,9.59,12.19,8.90,11.69,156300,11.69
2014-07-01,10.50,10.58,7.75,9.54,94100,9.54
2014-06-02,9.61,10.88,8.47,10.27,191300,10.27
2014-05-01,7.81,9.86,7.00,9.63,128300,9.63
2014-04-01,6.50,8.85,6.21,7.92,233200,7.92
2014-03-03,6.12,7.41,5.60,6.37,265200,6.37
2014-02-03,6.38,6.38,5.41,5.96,121200,5.96
2014-01-02,4.74,7.03,4.63,5.95,428900,5.95
2013-12-02,4.77,4.94,3.81,4.62,303900,4.62
2013-11-01,4.55,4.97,4.03,4.72,12600,4.72
2013-10-01,4.76,4.87,3.65,4.50,22600,4.50
2013-09-03,4.70,5.33,4.65,4.79,10100,4.79
2013-08-01,0.729987,6.00,0.599989,4.70,26000,4.70
2013-07-01,0.509991,0.759987,0.499991,0.739987,29500,3.144945
2013-06-03,0.249996,0.539991,0.249996,0.519991,127400,2.209961
