Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.00,1.45,0.91,1.17,187500,1.17
2016-06-01,1.24,1.26,0.90,0.98,34600,0.98
2016-05-02,1.47,1.72,1.11,1.24,38400,1.24
2016-04-01,1.11,1.95,1.10,1.47,378700,1.47
2016-03-01,0.87,1.14,0.85,1.10,57500,1.10
2016-02-01,0.68,1.02,0.68,0.89,65000,0.89
2016-01-04,0.76,0.81,0.54,0.68,62300,0.68
2015-12-01,1.05,1.15,0.73,0.74,103300,0.74
2015-11-02,0.96,1.40,0.92,1.05,125800,1.05
2015-10-01,0.90,1.19,0.84,0.95,80600,0.95
2015-09-01,1.90,2.05,0.90,0.93,416000,0.93
2015-08-03,1.44,2.53,0.65,1.50,765800,1.50
2015-07-01,1.46,1.74,1.40,1.44,69800,1.44
2015-06-01,1.79,1.85,1.44,1.44,86600,1.44
2015-05-01,1.88,2.16,1.71,1.76,69300,1.76
2015-04-01,2.02,2.36,1.76,1.90,91300,1.90
2015-03-02,2.39,2.53,1.86,2.05,110200,2.05
2015-02-02,1.68,2.97,1.57,2.37,351600,2.37
2015-01-02,1.54,2.29,1.43,1.66,351800,1.66
2014-12-01,1.59,1.68,1.32,1.48,130000,1.48
2014-11-03,1.95,1.98,1.56,1.60,68400,1.60
2014-10-01,2.30,2.35,1.82,1.98,74700,1.98
2014-09-02,2.92,3.61,2.30,2.32,196500,2.32
2014-08-01,3.26,3.36,2.66,2.94,103000,2.94
2014-07-01,3.55,3.61,3.09,3.30,88200,3.30
2014-06-02,3.61,3.77,3.35,3.55,165600,3.55
2014-05-01,3.85,4.28,3.44,3.58,201600,3.58
2014-04-01,4.49,4.74,3.10,3.87,368100,3.87
2014-03-03,4.90,5.26,3.96,4.25,421800,4.25
2014-02-03,5.11,6.34,4.35,4.96,896200,4.96
2014-01-02,3.64,5.93,3.60,5.13,1217100,5.13
2013-12-02,3.37,4.42,3.11,3.62,764600,3.62
2013-11-01,4.359997,4.400001,3.23,3.34,670700,3.34
2013-10-01,3.320003,6.239999,3.100003,4.370004,2759500,3.98723
2013-09-03,3.549999,4.100004,3.109998,3.329999,905800,3.03832
2013-08-01,5.26,10.850005,3.45,3.520001,4584200,3.21168
2013-07-01,1.530005,6.899999,1.209995,5.239998,1229100,4.78102
2013-06-03,1.730003,1.869995,1.310005,1.549996,32600,1.41423
2013-05-01,1.780002,2.000003,1.610002,1.750005,53100,1.59672
2013-04-01,2.000003,2.070004,1.499997,1.800004,93400,1.64234
2013-03-01,2.139995,3.279999,1.769996,2.000003,376600,1.82482
2013-02-01,2.109997,2.429996,2.009998,2.179999,33000,1.98905
2013-01-02,2.630005,3.270004,1.989996,2.139995,118700,1.95255
2012-12-03,1.390002,3.390005,1.299999,2.549997,210700,2.32664
2012-11-01,1.800004,2.000003,1.299999,1.390002,65600,1.26825
2012-10-01,1.440001,2.569999,1.009997,1.739999,147300,1.58759
2012-09-04,1.569998,1.669997,1.37,1.429995,16200,1.30474
