Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.45,2.94,2.45,2.79,13400,2.79
2016-06-01,2.53,2.75,2.45,2.45,2900,2.45
2016-05-02,2.75,2.76,2.45,2.75,1200,2.75
2016-04-01,2.78,2.78,2.36,2.75,1100,2.75
2016-03-01,2.66,3.00,2.61,2.78,1200,2.78
2016-02-01,2.90,2.92,2.41,2.61,1900,2.61
2016-01-04,3.03,3.17,2.85,2.89,1300,2.89
2015-12-01,3.25,4.50,2.51,3.03,10500,3.03
2015-11-02,2.80,3.90,2.70,3.25,4500,3.25
2015-10-01,2.86,2.98,2.66,2.76,2000,2.76
2015-09-01,3.15,3.26,2.40,2.85,1400,2.85
2015-08-03,3.57,3.59,3.06,3.10,2400,3.10
2015-07-01,3.63,3.68,3.39,3.40,1100,3.40
2015-06-01,3.80,3.81,3.38,3.68,2900,3.68
2015-05-01,4.05,4.15,3.51,3.73,7500,3.73
2015-04-01,4.11,4.49,4.01,4.05,2000,4.05
2015-03-02,4.24,4.26,4.01,4.24,1600,4.24
2015-02-02,4.20,4.44,4.00,4.24,4000,4.24
2015-01-02,4.69,4.85,4.12,4.30,5700,4.30
2014-12-01,4.07,6.51,3.75,4.71,103800,4.71
2014-11-03,4.07,4.40,3.71,4.11,3400,4.11
2014-10-01,4.31,4.49,3.71,4.36,4900,4.36
2014-09-02,3.96,6.43,3.86,4.24,27400,4.24
2014-08-01,3.84,4.06,3.66,3.91,8600,3.91
2014-07-01,4.62,4.62,3.82,3.83,18400,3.83
2014-06-02,4.27,4.97,4.19,4.62,3500,4.62
2014-05-01,6.00,6.07,4.19,4.25,12600,4.25
2014-04-01,6.44,6.64,5.76,5.90,2800,5.90
2014-03-03,6.85,7.19,6.40,6.63,4400,6.63
2014-02-03,7.55,8.39,6.43,7.00,8700,7.00
2014-01-02,8.04,8.04,7.02,7.35,2100,7.35
2013-12-02,7.13,8.89,7.09,7.61,11100,7.61
2013-11-01,6.65,9.97,6.55,7.10,21500,7.10
2013-10-01,6.69,6.94,6.49,6.65,2600,6.65
2013-09-03,6.72,6.87,6.27,6.69,2600,6.69
2013-08-01,7.52,7.90,6.00,6.80,3900,6.80
2013-07-01,7.25,7.90,7.07,7.84,4700,7.84
2013-06-03,7.39,8.00,7.11,7.59,4400,7.59
2013-05-01,6.28,7.58,6.28,7.39,7700,7.39
2013-04-01,4.29,7.13,4.29,6.69,4800,6.69
2013-03-01,4.13,4.72,3.96,4.22,2700,4.22
