Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,8.23,8.28,6.95,7.57,617900,7.57
2016-06-01,9.46,9.88,7.36,8.17,208300,8.17
2016-05-02,9.72,10.00,8.90,9.45,115700,9.45
2016-04-01,10.36,10.48,9.38,9.76,593200,9.76
2016-03-01,9.90,11.79,9.86,10.79,109300,10.79
2016-02-01,10.85,10.85,8.89,9.58,131900,9.58
2016-01-04,12.35,12.35,10.47,11.15,87000,11.15
2015-12-01,12.84,13.27,11.92,12.65,78200,12.65
2015-11-02,14.15,14.18,12.16,12.92,69700,12.92
2015-10-01,11.89,14.18,11.40,13.90,81500,13.90
2015-09-01,11.95,12.79,11.72,12.28,68800,12.28
2015-08-03,13.48,13.58,12.02,12.11,66600,12.11
2015-07-01,13.09,13.69,11.80,13.20,242500,13.20
2015-06-01,12.34,13.48,12.19,12.72,281900,12.72
2015-05-01,11.78,12.56,11.49,12.24,615900,12.24
2015-04-01,11.82,12.21,11.41,11.75,299300,11.75
2015-03-02,12.01,12.13,11.08,11.61,134300,11.61
2015-02-02,11.36,12.01,10.66,11.93,107400,11.93
2015-01-02,10.55,11.68,9.94,11.50,147300,11.50
2014-12-01,11.22,11.81,10.52,10.54,114100,10.54
2014-11-03,11.27,11.47,10.47,11.16,145800,11.16
2014-10-01,11.40,11.40,9.46,11.30,94200,11.30
2014-09-02,11.30,12.04,11.18,11.44,247800,11.44
2014-08-01,11.56,11.65,10.57,11.50,111000,11.50
2014-07-01,12.50,12.55,11.38,11.41,68300,11.41
2014-06-02,12.49,13.54,12.32,12.62,75600,12.62
2014-05-01,12.86,13.08,10.98,12.38,202200,12.38
2014-04-01,11.78,12.84,11.50,12.84,98100,12.84
2014-03-03,11.01,11.80,10.87,11.79,94100,11.79
2014-02-03,10.84,12.08,10.63,11.35,129700,11.35
2014-01-02,9.64,11.61,9.55,11.07,455000,11.07
2013-12-02,9.42,9.96,8.97,9.96,130900,9.96
2013-11-01,9.68,10.10,8.80,9.64,150600,9.64
2013-10-01,8.59,10.30,8.23,9.76,471100,9.76
2013-09-03,7.27,8.23,7.20,8.15,299400,8.15
2013-08-01,6.76,7.02,6.24,6.93,223400,6.93
2013-07-01,7.07,7.25,6.20,6.88,270400,6.88
2013-06-03,7.60,7.68,6.66,6.95,309300,6.95
2013-05-01,8.42,8.80,7.70,7.71,250600,7.71
2013-04-01,7.11,8.51,6.82,8.34,307000,8.34
2013-03-01,7.12,8.12,6.91,7.13,371600,6.886104
2013-02-01,9.86,9.99,7.10,7.33,582700,7.079262
2013-01-02,9.25,10.22,9.03,9.88,335400,9.542034
2012-12-03,9.19,9.46,8.74,9.05,280200,8.740426
2012-11-01,9.18,9.37,8.42,9.09,268000,8.779058
2012-10-01,10.11,10.62,9.06,9.19,195700,8.875636
2012-09-04,9.63,11.03,9.41,10.04,321800,9.696561
2012-08-01,8.17,9.37,7.68,9.31,453600,8.991532
2012-07-02,9.67,9.79,7.31,8.12,403500,7.842238
2012-06-01,8.42,9.88,8.15,9.85,542200,9.513061
2012-05-01,11.44,11.46,8.17,8.28,507800,7.996765
2012-04-02,11.82,12.03,10.40,11.32,334700,10.279546
2012-03-01,11.55,12.38,11.04,11.87,331900,10.778994
2012-02-01,10.42,12.00,10.04,11.53,440800,10.470243
2012-01-03,11.03,11.18,9.95,10.22,392200,9.28065
2011-12-01,11.30,11.66,10.23,10.65,469400,9.671127
2011-11-01,11.63,12.38,10.10,11.31,475500,10.270465
2011-10-03,10.89,13.60,10.57,12.43,489700,11.287522
2011-09-01,12.21,12.29,9.74,10.81,649500,9.816422
2011-08-01,12.41,12.64,10.99,12.16,706200,11.042338
2011-07-01,13.59,13.93,11.51,12.50,450300,11.351089
2011-06-01,14.19,14.22,12.64,13.90,274400,12.62241
2011-05-02,15.10,15.20,13.49,14.18,255200,12.876675
2011-04-01,15.30,15.70,13.85,15.03,411400,13.648548
2011-03-01,15.50,16.040001,14.39,15.38,377200,13.233302
2011-02-01,14.53,15.70,14.04,15.60,312600,13.422595
2011-01-03,13.09,14.87,12.91,14.21,454800,12.226607
2010-12-01,12.90,13.28,12.45,12.94,347800,11.13387
2010-11-01,15.17,15.66,12.27,12.32,435500,10.600408
2010-10-01,14.15,15.42,13.65,15.26,399800,13.130051
2010-09-01,13.89,14.25,13.33,13.93,402600,11.985689
2010-08-02,13.14,14.08,12.64,13.57,598800,11.675936
2010-07-01,11.19,13.32,11.11,12.73,447200,10.953181
2010-06-01,11.38,12.14,10.46,11.01,413800,9.473254
2010-05-03,13.94,13.97,10.86,11.83,567900,10.178801
2010-04-01,14.43,15.46,13.31,13.85,262200,11.25686
2010-03-01,14.30,14.98,13.91,14.34,204800,11.655117
2010-02-01,14.77,16.00,13.79,14.22,368600,11.557585
2010-01-04,15.53,15.82,14.15,14.88,648900,12.094012
2009-12-01,16.200001,16.530001,14.95,15.43,145500,12.541036
2009-11-02,16.299999,17.280001,15.69,16.040001,160200,13.036826
2009-10-01,17.01,18.25,15.79,15.86,149100,12.890527
2009-09-01,15.95,18.50,15.66,17.530001,168600,14.247852
2009-08-03,15.63,16.42,14.43,16.15,350600,13.126229
2009-07-01,14.15,15.71,13.00,15.58,357100,12.662951
2009-06-01,14.26,14.47,12.68,13.76,226700,11.183711
2009-05-01,12.47,14.30,12.45,14.12,224200,11.476307
2009-04-01,13.15,14.24,11.59,12.52,293200,10.175877
2009-03-02,11.62,13.34,9.60,12.79,405800,9.911749
2009-02-02,12.18,14.48,11.22,12.06,341300,9.346027
2009-01-02,16.18,16.67,12.24,12.35,288100,9.570766
2008-12-01,12.80,16.76,12.39,16.25,332000,12.593113
2008-11-03,11.01,13.96,11.01,13.55,360700,10.500719
2008-10-01,14.61,14.93,8.79,11.40,403600,8.834553
2008-09-02,16.379999,16.51,14.55,14.92,418300,11.562415
2008-08-01,17.860001,17.969999,15.47,16.139999,242500,12.507867
2008-07-01,20.059999,21.33,17.799999,17.91,232100,13.879548
2008-06-02,21.530001,22.76,19.25,19.959999,218000,15.468217
2008-05-01,20.700001,22.639999,20.129999,21.98,243900,17.033638
2008-04-01,21.59,23.77,20.370001,20.950001,250700,16.23543
2008-03-03,24.98,25.25,18.610001,20.889999,556200,15.314161
2008-02-01,30.120001,30.17,24.92,24.92,448400,18.268497
2008-01-02,30.860001,31.799999,27.799999,30.309999,339300,22.21983
2007-12-03,31.73,32.919998,28.83,30.84,180500,22.608364
2007-11-01,30.76,32.68,30.26,31.719999,307400,23.253479
2007-10-01,30.700001,31.66,28.969999,31.41,146700,23.026224
2007-09-04,28.530001,30.709999,27.99,30.27,175800,22.190506
2007-08-01,26.59,28.459999,24.00,28.24,241900,20.702341
2007-07-02,27.559999,29.309999,26.540001,26.700001,216000,19.573391
2007-06-01,29.07,29.18,26.76,27.459999,191500,20.130533
2007-05-01,29.969999,30.110001,27.74,29.00,167900,21.259487
2007-04-02,31.379999,32.66,29.940001,29.950001,298200,21.955919
2007-03-01,29.379999,29.620001,27.40,28.66,204300,19.821772
2007-02-01,29.52,31.709999,29.41,30.32,245000,20.969858
2007-01-03,30.48,31.59,29.290001,29.719999,137000,20.554888
2006-12-01,30.370001,30.879999,29.379999,30.129999,184000,20.838451
2006-11-01,30.52,31.309999,30.07,30.60,98000,21.163511
2006-10-02,28.09,30.33,27.780001,30.25,137600,20.921446
2006-09-01,27.84,29.23,27.34,28.33,121600,19.593538
2006-08-01,26.690001,28.00,26.15,27.780001,58100,19.21315
2006-07-03,27.90,28.27,25.719999,26.90,64900,18.604525
2006-06-01,28.139999,28.92,26.530001,27.92,58400,19.309975
2006-05-01,28.41,29.780001,26.879999,28.16,61700,19.475964
2006-04-03,29.139999,30.24,27.83,28.07,50100,19.413717
2006-03-01,27.32,30.07,27.27,29.200001,55900,19.068514
2006-02-01,27.93,28.40,26.42,26.950001,55200,17.599194
2006-01-03,29.879999,31.93,27.959999,28.09,153000,18.343649
2005-12-01,28.139999,29.799999,27.809999,29.209999,91000,19.075043
2005-11-01,28.58,29.139999,26.51,28.030001,95700,18.304468
2005-10-03,32.549999,32.549999,28.280001,29.030001,32500,18.957499
2005-09-01,31.700001,32.740002,30.90,32.599998,27700,21.288818
2005-08-01,33.200001,33.900002,30.950001,31.66,19500,20.674971
2005-07-01,31.370001,32.959999,29.49,32.630001,34700,21.308413
2005-06-01,32.18,32.75,29.940001,31.309999,52700,20.446409
2005-05-02,34.00,34.549999,32.110001,32.18,21700,21.014547
2005-04-01,37.830002,38.59,33.490002,33.98,42800,22.190002
2005-03-01,38.669998,38.790001,36.700001,37.740002,36700,23.671017
2005-02-01,39.630001,40.150002,38.25,38.869999,37000,24.379766
2005-01-03,41.32,41.529999,38.599998,39.610001,48400,24.843904
2004-12-01,39.200001,41.16,38.860001,40.869999,33400,25.634192
2004-11-01,33.599998,38.830002,33.50,38.450001,22200,24.116339
2004-10-01,31.50,33.630001,31.25,33.400002,17800,20.948914
2004-09-01,29.950001,31.200001,29.90,30.76,45500,19.29307
2004-08-02,29.870001,30.129999,28.450001,30.01,20700,18.82266
2004-07-01,31.200001,31.90,29.379999,29.85,19300,18.722307
2004-06-01,30.42,32.00,30.379999,31.290001,42700,19.625494
2004-05-03,32.34,33.040001,29.459999,30.780001,24000,19.305614
2004-04-01,31.77,32.349998,30.639999,32.029999,94100,19.268848
2004-03-01,31.950001,32.59,29.200001,31.58,38700,18.998135
2004-02-02,30.60,33.580002,30.60,31.65,72000,19.040245
2004-01-02,30.26,33.450001,30.25,30.969999,29300,18.631166
2003-12-01,29.09,30.040001,28.950001,29.700001,32400,17.867149
2003-11-03,26.360001,29.10,26.299999,28.84,21000,17.349785
2003-10-09,25.219999,26.60,24.77,25.90,29100,15.581117
