Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.57,2.57,2.13,2.18,74900,2.18
2016-06-01,3.12,3.33,2.40,2.40,39300,2.40
2016-05-02,3.19,3.35,3.05,3.19,26600,3.19
2016-04-01,3.45,3.62,3.06,3.18,41300,3.18
2016-03-01,3.92,4.30,3.36,3.49,17500,3.49
2016-02-01,4.34,4.45,3.71,3.95,40300,3.95
2016-01-04,5.09,5.25,3.86,4.09,16000,4.09
2015-12-01,5.27,5.32,4.62,5.12,24100,5.12
2015-11-02,5.36,6.15,5.14,5.24,25800,5.24
2015-10-01,5.24,5.84,5.10,5.68,19500,5.68
2015-09-01,5.72,5.94,5.09,5.30,20700,5.30
2015-08-03,5.22,6.00,5.12,5.63,27500,5.63
2015-07-01,5.84,6.15,4.56,5.29,31400,5.29
2015-06-01,6.25,6.30,5.60,5.80,25700,5.80
2015-05-01,6.28,6.42,5.97,6.21,11700,6.21
2015-04-01,6.36,7.35,5.95,6.25,65400,6.25
2015-03-02,6.91,7.05,5.88,6.35,68200,6.35
2015-02-02,6.29,7.50,6.29,7.00,19500,7.00
2015-01-02,6.52,7.75,6.03,6.36,10400,6.36
2014-12-01,5.80,7.00,5.37,6.71,29100,6.71
2014-11-03,5.52,6.35,5.30,5.76,40500,5.76
2014-10-01,5.13,5.91,4.34,5.70,29900,5.70
2014-09-02,5.00,6.25,4.81,5.14,24700,5.14
2014-08-01,5.33,5.39,4.41,5.00,22600,5.00
2014-07-01,5.80,6.18,5.32,5.39,24300,5.39
2014-06-02,6.25,6.37,5.56,5.77,37500,5.77
2014-05-01,6.10,6.50,5.15,6.02,29600,6.02
2014-04-01,6.34,6.41,5.86,6.07,19600,6.07
2014-03-03,6.32,6.41,5.53,6.35,25900,6.35
2014-02-03,6.00,7.10,5.50,5.99,77300,5.99
2014-01-02,6.25,7.40,5.74,5.94,47800,5.94
2013-12-02,4.85,6.88,4.54,6.25,48000,6.25
2013-11-01,4.41,5.45,4.20,4.84,22100,4.84
2013-10-01,4.07,4.50,3.87,4.37,25200,4.37
2013-09-03,4.21,4.44,3.85,4.19,12200,4.19
2013-08-01,4.44,4.50,3.65,4.24,9600,4.24
2013-07-01,3.43,4.69,3.36,4.45,12300,4.45
2013-06-03,3.31,3.80,3.15,3.42,8900,3.42
2013-05-01,3.65,3.97,3.18,3.34,10300,3.34
2013-04-01,3.88,4.13,3.05,3.70,10200,3.70
2013-03-01,3.42,3.92,3.27,3.88,12100,3.88
2013-02-01,4.71,5.05,3.23,3.64,27300,3.64
2013-01-02,4.95,5.50,4.06,4.90,29200,4.90
2012-12-03,4.50,5.24,4.00,4.89,25100,4.89
2012-11-01,4.65,4.90,3.30,4.25,29900,4.25
2012-10-01,7.50,8.00,4.50,4.50,24400,4.50
2012-09-04,0.02,7.50,0.01,7.50,200,7.50
2012-08-01,0.02,0.03,0.01,0.02,300,8.00
2012-07-02,0.04,0.04,0.01,0.02,300,8.00
2012-06-01,0.04,0.05,0.03,0.04,000,16.00
2012-05-01,0.05,0.05,0.04,0.04,000,16.00
2012-04-02,0.06,0.06,0.04,0.05,200,20.00
2012-03-01,0.05,0.06,0.04,0.06,300,24.00
2012-02-01,0.08,0.08,0.05,0.05,400,20.00
2012-01-03,0.05,0.08,0.05,0.06,100,24.00
2011-12-01,0.06,0.07,0.04,0.04,000,16.00
2011-11-01,0.04,0.08,0.04,0.06,300,24.00
2011-10-03,0.04,0.05,0.03,0.04,000,16.00
2011-09-01,0.04,0.15,0.04,0.05,000,20.00
2011-08-01,0.05,0.05,0.04,0.04,000,16.00
2011-07-01,0.04,0.07,0.04,0.05,000,20.00
2011-06-01,0.07,0.08,0.04,0.04,300,16.00
2011-05-02,0.11,0.14,0.06,0.06,400,24.00
2011-04-01,0.06,0.10,0.05,0.10,100,40.00
2011-03-01,0.08,0.08,0.03,0.08,100,32.00
2011-02-01,0.07,0.10,0.07,0.08,000,32.00
2011-01-03,0.11,0.14,0.07,0.10,000,40.00
2010-12-01,0.03,0.16,0.01,0.11,200,44.00
2010-11-01,0.05,0.06,0.03,0.03,000,12.00
2010-10-01,0.07,0.07,0.05,0.05,000,20.00
2010-09-01,0.06,0.07,0.06,0.07,000,28.00
2010-08-02,0.07,0.08,0.06,0.07,000,28.00
2010-07-01,0.08,0.08,0.06,0.07,000,28.00
2010-06-01,0.09,0.09,0.07,0.08,000,32.00
2010-05-03,0.11,0.14,0.09,0.09,000,36.00
2010-04-01,0.10,0.25,0.09,0.11,000,44.00
2010-03-01,0.05,0.14,0.05,0.09,000,36.00
2010-02-01,0.10,0.10,0.04,0.05,000,20.00
2010-01-04,0.08,0.10,0.06,0.10,000,40.00
2009-12-01,0.11,0.12,0.08,0.08,000,32.00
2009-11-02,0.15,0.20,0.10,0.11,000,44.00
2009-10-01,0.07,0.17,0.07,0.13,000,52.00
2009-09-01,0.10,0.10,0.07,0.07,000,28.00
2009-08-03,0.10,0.14,0.07,0.10,000,40.00
2009-07-01,0.25,0.25,0.09,0.10,000,40.00
2009-06-01,0.12,0.38,0.08,0.25,000,100.00
2009-05-01,0.10,0.15,0.08,0.12,000,48.00
2009-04-01,0.09,0.10,0.08,0.10,000,40.00
2009-03-02,0.10,0.11,0.06,0.09,000,36.00
2009-02-02,0.12,0.13,0.07,0.10,000,40.00
2009-01-02,0.10,0.15,0.09,0.12,000,48.00
2008-12-01,0.15,0.24,0.06,0.10,000,40.00
2008-11-03,0.14,0.20,0.10,0.15,000,60.00
2008-10-01,0.16,0.24,0.05,0.14,300,56.00
2008-09-02,0.28,0.30,0.16,0.17,000,68.00
2008-08-01,0.33,0.35,0.28,0.28,000,112.00
2008-07-01,0.36,0.39,0.28,0.32,000,128.00
2008-06-02,0.45,0.46,0.36,0.36,000,144.00
2008-05-01,0.38,0.55,0.34,0.45,000,180.00
2008-04-01,0.26,0.42,0.26,0.39,100,156.00
2008-03-07,0.28,0.36,0.26,0.27,000,108.00
